n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.9,0.1,0.5711986643,266.7575269,7.737258647
144,0.9,0.1,0.638619521,192.2742202,6.58743393
144,0.9,0.1,0.6995726346,132.5431743,4.220345516
144,0.9,0.1,0.8077968978,76.95094805,1.721978734
144,0.9,0.1,0.8567979964,61.09545656,0.7541028493
144,0.9,0.1,0.9031443878,48.03406995,0.3848166324
144,0.9,0.1,0.9472258251,38.97179895,0.6387322142
144,0.9,0.1,0.9893451078,30.50357726,0.4510760273
144,0.9,0.1,1.029743036,27.32811249,0.2487022767
144,0.9,0.1,1.068614851,23.07142244,0.1316696117
144,0.9,0.1,1.142397329,17.70921115,0.1935506347
144,0.9,0.1,1.177556213,15.57503019,0.1270517912
144,0.9,0.1,1.211695347,13.77238031,0.1362017586
144,0.9,0.1,1.244898627,12.04424921,0.1441656506
144,0.9,0.1,1.277239042,10.86545845,0.1158498252
144,0.9,0.1,1.308780558,9.962897193,0.08579304752
144,0.9,0.1,1.339579608,9.09139546,0.09302948696
144,0.9,0.1,1.399145269,7.65834788,0.05654298868
144,0.9,0.1,1.427996661,7.091884657,0.0497390539
144,0.9,0.1,1.456276568,6.448528849,0.05079962035
144,0.9,0.1,1.484017662,6.036744661,0.05712153863
144,0.875,0.125,0.2855993321,2693.703522,444.7106177
144,0.875,0.125,0.4038984489,936.1137946,50.89594439
144,0.875,0.125,0.4946725539,523.645954,12.22903752
144,0.875,0.125,0.5711986643,294.6361155,12.93123038
144,0.875,0.125,0.638619521,200.2287415,4.995777494
144,0.875,0.125,0.6995726346,141.9645644,1.273452286
144,0.875,0.125,0.8077968978,71.34873485,1.230933243
144,0.875,0.125,0.8567979964,59.27812813,1.073699995
144,0.875,0.125,0.9031443878,47.10468629,1.010504488
144,0.875,0.125,0.9472258251,37.93189104,0.5683328644
144,0.875,0.125,0.9893451078,32.7466152,0.7240657614
144,0.875,0.125,1.029743036,27.28974051,0.4053940417
144,0.875,0.125,1.068614851,23.04681404,0.1687423988
144,0.875,0.125,1.142397329,17.64213401,0.4392934503
144,0.875,0.125,1.177556213,15.42056118,0.1942830281
144,0.875,0.125,1.211695347,13.57423357,0.1156767478
144,0.875,0.125,1.244898627,12.22674662,0.1011502143
144,0.875,0.125,1.277239042,10.94409039,0.07278195328
144,0.875,0.125,1.308780558,9.79136242,0.05138163325
144,0.875,0.125,1.339579608,9.032005688,0.07191200532
144,0.875,0.125,1.399145269,7.565977788,0.0597516474
144,0.875,0.125,1.427996661,6.923079753,0.05695561018
144,0.875,0.125,1.456276568,6.45781582,0.04494999289
144,0.875,0.125,1.484017662,5.97206027,0.05233896226
144,0.85,0.15,0.2855993321,3342.867146,575.2563518
144,0.85,0.15,0.4038984489,1127.357578,72.91748904
144,0.85,0.15,0.4946725539,531.2810284,36.45247678
144,0.85,0.15,0.5711986643,322.8876276,19.95704728
144,0.85,0.15,0.638619521,193.2164883,4.581971786
144,0.85,0.15,0.6995726346,140.4965652,2.033386916
144,0.85,0.15,0.8077968978,72.07416725,1.681730611
144,0.85,0.15,0.8567979964,58.64477221,1.0781747
144,0.85,0.15,0.9031443878,47.10128977,0.9627631557
144,0.85,0.15,0.9472258251,38.7266756,0.5950101013
144,0.85,0.15,0.9893451078,32.29219784,0.5777974322
144,0.85,0.15,1.029743036,26.75254501,0.3552393974
144,0.85,0.15,1.068614851,22.84337003,0.2743330355
144,0.85,0.15,1.142397329,17.5243828,0.2494519832
144,0.85,0.15,1.177556213,15.23098782,0.1244092238
144,0.85,0.15,1.211695347,13.48341976,0.1458852143
144,0.85,0.15,1.244898627,12.04111526,0.2136197013
144,0.85,0.15,1.277239042,10.82184952,0.06952686205
144,0.85,0.15,1.308780558,9.734091406,0.07836121728
144,0.85,0.15,1.339579608,8.97898948,0.09303145106
144,0.85,0.15,1.399145269,7.413497907,0.0548527291
144,0.85,0.15,1.427996661,6.944331176,0.08199710043
144,0.85,0.15,1.456276568,6.412974181,0.04195177783
144,0.85,0.15,1.484017662,5.928271236,0.05369796385
