n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.85,0.15,0.8567979964,4.44299737,0.2390448804
144,0.85,0.15,0.9031443878,4.318899383,0.2173310673
144,0.85,0.15,0.9472258251,2.849561199,0.1618663626
144,0.85,0.15,0.9893451078,2.183004132,0.1336229727
144,0.85,0.15,1.029743036,2.29653208,0.05881021
144,0.85,0.15,1.068614851,2.0158874,0.0513855662
144,0.85,0.15,1.142397329,1.942149725,0.05494216482
144,0.85,0.15,1.177556213,1.630887066,0.02244083513
144,0.85,0.15,1.211695347,1.545950798,0.03922333184
144,0.85,0.15,1.244898627,1.343346463,0.03645270543
144,0.85,0.15,1.277239042,1.319157842,0.02037091917
144,0.85,0.15,1.308780558,1.223070403,0.0229220122
144,0.85,0.15,1.339579608,1.142884732,0.03101157987
144,0.85,0.15,1.399145269,1.052516707,0.01760893306
144,0.85,0.15,1.427996661,1.025390613,0.01891989536
144,0.85,0.15,1.456276568,0.9901315966,0.01455058201
144,0.85,0.15,1.484017662,0.9561994405,0.01675901518
144,0.8,0.2,0.2855993321,743.4285587,4.117674528
144,0.8,0.2,0.4038984489,44.39981658,2.525575565
144,0.8,0.2,0.4946725539,30.61058534,1.880286747
144,0.8,0.2,0.5711986643,23.19871967,1.770644496
144,0.8,0.2,0.638619521,9.270723794,0.4741701732
144,0.8,0.2,0.6995726346,5.761401454,0.4515696715
144,0.8,0.2,0.8077968978,3.930947679,0.2220290972
144,0.8,0.2,0.8567979964,4.584371903,0.3150084252
144,0.8,0.2,0.9031443878,3.908876518,0.200198521
144,0.8,0.2,0.9472258251,2.847594308,0.1249500226
144,0.8,0.2,0.9893451078,2.13260055,0.09716738736
144,0.8,0.2,1.029743036,2.033814308,0.08573561461
144,0.8,0.2,1.068614851,1.760851951,0.02164421715
144,0.8,0.2,1.142397329,1.824348664,0.06636851775
144,0.8,0.2,1.177556213,1.495446372,0.02086247023
144,0.8,0.2,1.211695347,1.365046695,0.02016653936
144,0.8,0.2,1.244898627,1.219827547,0.02268374453
144,0.8,0.2,1.277239042,1.138173166,0.01607743231
144,0.8,0.2,1.308780558,1.131607879,0.01067577879
144,0.8,0.2,1.339579608,1.017514832,0.004614493635
144,0.8,0.2,1.399145269,0.9419514941,0.01324394712
144,0.8,0.2,1.427996661,0.9369878009,0.02116751855
144,0.8,0.2,1.456276568,0.891866777,0.007622555355
144,0.8,0.2,1.484017662,0.8516324268,0.007997588377
144,0.7,0.3,0.2855993321,801.1685663,7.872297818
144,0.7,0.3,0.4038984489,45.24283731,1.405555274
144,0.7,0.3,0.4946725539,35.40550786,3.965515949
144,0.7,0.3,0.5711986643,11.58206446,0.9813171081
144,0.7,0.3,0.638619521,8.311880948,0.4943789249
144,0.7,0.3,0.6995726346,5.292372178,0.7481375538
144,0.7,0.3,0.8077968978,3.842386956,0.1175365811
144,0.7,0.3,0.8567979964,4.929780018,0.3444580271
144,0.7,0.3,0.9031443878,3.483038259,0.2416704114
144,0.7,0.3,0.9472258251,2.59657943,0.07087572145
144,0.7,0.3,0.9893451078,1.840665104,0.3048942237
144,0.7,0.3,1.029743036,1.729359811,0.03818002652
144,0.7,0.3,1.068614851,1.62201069,0.04968713162
144,0.7,0.3,1.142397329,1.336538357,0.01721735874
144,0.7,0.3,1.177556213,1.353486573,0.01810293198
144,0.7,0.3,1.211695347,1.203135209,0.009657218263
144,0.7,0.3,1.244898627,1.059132187,0.01897212824
144,0.7,0.3,1.277239042,1.007424007,0.01401217565
144,0.7,0.3,1.308780558,0.9605260623,0.01000517808
144,0.7,0.3,1.339579608,0.8848609866,0.0189570393
144,0.7,0.3,1.399145269,0.8295401118,0.01601886241
144,0.7,0.3,1.427996661,0.8247521055,0.01924026076
