n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.7,0.3,0.9472258251,301.2237353,44.86309457
144,0.7,0.3,0.9893451078,132.0845753,103.6444117
144,0.7,0.3,1.029743036,52.1676791,4.249865439
144,0.7,0.3,1.068614851,50.30784322,3.811612433
144,0.7,0.3,1.142397329,30.90257086,3.351861126
144,0.7,0.3,1.177556213,37.15971795,3.188727135
144,0.7,0.3,1.211695347,26.53165473,1.598528402
144,0.7,0.3,1.244898627,17.63280097,1.298564476
144,0.7,0.3,1.277239042,15.38933236,1.453853018
144,0.7,0.3,1.308780558,13.88714298,0.4920899016
144,0.7,0.3,1.339579608,10.79599183,0.3492820159
144,0.7,0.3,1.399145269,9.814779148,0.4524546288
144,0.7,0.3,1.427996661,10.54614242,0.9425563264
144,0.7,0.3,1.456276568,8.265429203,0.2496430652
144,0.7,0.3,1.484017662,8.034108545,0.3333978859
144,0.6,0.4,0.2855993321,,
144,0.6,0.4,0.4038984489,,
144,0.6,0.4,0.4946725539,,
144,0.6,0.4,0.5711986643,1247.292663,
144,0.6,0.4,0.638619521,924.21081,152.7941169
144,0.6,0.4,0.6995726346,520.7882496,233.166909
144,0.6,0.4,0.8077968978,289.6087664,93.25704126
144,0.6,0.4,0.8567979964,911.5630078,
144,0.6,0.4,0.9031443878,783.8524899,95.62922076
144,0.6,0.4,0.9472258251,174.6924108,35.65709376
144,0.6,0.4,0.9893451078,48.07441056,23.57657626
144,0.6,0.4,1.029743036,35.9262599,7.171449108
144,0.6,0.4,1.068614851,30.95712088,5.699314959
144,0.6,0.4,1.142397329,271.3805265,235.31948
144,0.6,0.4,1.177556213,31.70315792,4.556547684
144,0.6,0.4,1.211695347,20.60224648,4.491236014
144,0.6,0.4,1.244898627,12.67076094,2.566858908
144,0.6,0.4,1.277239042,11.4499059,0.5455088419
144,0.6,0.4,1.308780558,10.55002552,1.130501595
144,0.6,0.4,1.339579608,8.052564093,0.9253584145
144,0.6,0.4,1.399145269,7.237312965,0.7340940701
144,0.6,0.4,1.427996661,8.836446301,1.459220921
144,0.6,0.4,1.456276568,7.092266231,0.2200118438
144,0.6,0.4,1.484017662,7.241350032,0.5564445665
144,0.5,0.5,0.2855993321,,
144,0.5,0.5,0.4038984489,539.9592685,
144,0.5,0.5,0.4946725539,,
144,0.5,0.5,0.5711986643,762.42263,
144,0.5,0.5,0.638619521,,
144,0.5,0.5,0.6995726346,443.7583753,91.23377901
144,0.5,0.5,0.8077968978,167.8509376,36.53900739
144,0.5,0.5,0.8567979964,,
144,0.5,0.5,0.9031443878,396.331553,159.6304182
144,0.5,0.5,0.9472258251,194.3535112,22.77049076
144,0.5,0.5,0.9893451078,48.86946677,20.01162263
144,0.5,0.5,1.029743036,28.83538912,5.397486647
144,0.5,0.5,1.068614851,26.87425448,3.278599627
144,0.5,0.5,1.142397329,307.5034103,255.6821336
144,0.5,0.5,1.177556213,38.78400927,12.291044
144,0.5,0.5,1.211695347,21.20689135,5.336933602
144,0.5,0.5,1.244898627,10.55807949,1.234536416
144,0.5,0.5,1.277239042,9.912719366,0.3870285734
144,0.5,0.5,1.308780558,9.227550704,0.6644135296
144,0.5,0.5,1.339579608,6.961416239,0.3211276495
144,0.5,0.5,1.399145269,6.060877554,0.3619454314
144,0.5,0.5,1.427996661,6.515974107,0.5235364032
144,0.5,0.5,1.456276568,5.386433341,0.03805395879
144,0.5,0.5,1.484017662,5.919127264,0.4626606899
144,0.3,0.7,0.2855993321,,
144,0.3,0.7,0.4038984489,536.5537571,
144,0.3,0.7,0.4946725539,956.2093723,
144,0.3,0.7,0.5711986643,786.4601844,
144,0.3,0.7,0.638619521,426.2642573,137.8358654
144,0.3,0.7,0.6995726346,152.6277931,72.21272457
144,0.3,0.7,0.8077968978,91.68672457,9.961203039
144,0.3,0.7,0.8567979964,912.4873351,
144,0.3,0.7,0.9031443878,169.8834873,47.69070942
144,0.3,0.7,0.9472258251,64.20031384,14.39262249
144,0.3,0.7,0.9893451078,17.4307548,4.596087583
144,0.3,0.7,1.029743036,16.14091227,1.4760727
144,0.3,0.7,1.068614851,13.86349339,0.8832217068
144,0.3,0.7,1.142397329,440.8137716,419.1093723
144,0.3,0.7,1.177556213,13.41750554,0.7135907836
144,0.3,0.7,1.211695347,10.38138778,0.4600106822
144,0.3,0.7,1.244898627,6.436290697,0.2042233463
144,0.3,0.7,1.277239042,6.96540661,0.3674311855
144,0.3,0.7,1.308780558,6.007441825,0.1729954101
144,0.3,0.7,1.339579608,4.836090118,0.299623994
144,0.3,0.7,1.399145269,4.167467177,0.0787584861
144,0.3,0.7,1.427996661,4.702927925,0.6092987032
144,0.3,0.7,1.456276568,4.04813188,0.09800286887
144,0.3,0.7,1.484017662,4.050497435,0.1039814874
144,0.1,0.9,0.2855993321,,
144,0.1,0.9,0.4038984489,363.2603962,137.9004846
144,0.1,0.9,0.4946725539,169.1847047,12.65037342
144,0.1,0.9,0.5711986643,377.6215721,132.9190191
144,0.1,0.9,0.638619521,158.8820212,47.46003188
144,0.1,0.9,0.6995726346,114.3311856,58.51117013
144,0.1,0.9,0.8077968978,32.50403646,2.745652455
144,0.1,0.9,0.8567979964,796.2909864,
144,0.1,0.9,0.9031443878,104.1034894,51.53166264
144,0.1,0.9,0.9472258251,57.12006452,29.93766744
144,0.1,0.9,0.9893451078,32.66659968,21.75624148
144,0.1,0.9,1.029743036,13.87660046,1.119162962
144,0.1,0.9,1.068614851,11.11362438,0.5627527763
144,0.1,0.9,1.142397329,100.8444293,57.69716755
144,0.1,0.9,1.177556213,11.39910256,0.6255195235
144,0.1,0.9,1.211695347,8.262823909,0.2243566852
144,0.1,0.9,1.244898627,5.482166375,0.2794604463
144,0.1,0.9,1.277239042,6.191953808,0.1857956379
144,0.1,0.9,1.308780558,5.1931918,0.1284693839
144,0.1,0.9,1.339579608,4.323243124,0.3000175239
144,0.1,0.9,1.399145269,3.722118681,0.1009505388
144,0.1,0.9,1.427996661,4.205832848,0.1457865639
144,0.1,0.9,1.456276568,3.725140564,0.1053126214
144,0.1,0.9,1.484017662,3.562505897,0.07908971421
