n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,1,0,0.2855993321,397.5,0.9277659003,0.01167134419
144,1,0,0.2855993321,400,0.9274422208,0.01176314129
144,1,0,0.2855993321,402.5,0.9271441761,0.01184075573
144,1,0,0.2855993321,405,0.9268730425,0.01192397663
144,1,0,0.2855993321,407.5,0.9265819788,0.01199316279
144,1,0,0.2855993321,410,0.9262758679,0.01207663382
144,1,0,0.2855993321,412.5,0.9259835276,0.01216700112
144,1,0,0.2855993321,415,0.9257170005,0.01224357596
144,1,0,0.2855993321,417.5,0.9254340428,0.01230949841
144,1,0,0.2855993321,420,0.925183258,0.01237859806
144,1,0,0.2855993321,422.5,0.9249231825,0.01243224193
144,1,0,0.2855993321,425,0.9246897683,0.01247787675
144,1,0,0.2855993321,427.5,0.9244418056,0.01254743975
144,1,0,0.2855993321,430,0.9241874868,0.01260997897
144,1,0,0.2855993321,432.5,0.923930432,0.01267369643
144,1,0,0.2855993321,435,0.9236604865,0.01272717362
144,1,0,0.2855993321,437.5,0.9233789277,0.01278075264
144,1,0,0.2855993321,440,0.9231029169,0.01284561945
144,1,0,0.2855993321,442.5,0.9228338917,0.01290271774
144,1,0,0.2855993321,445,0.9225973956,0.01295935901
144,1,0,0.2855993321,447.5,0.9223395892,0.01301773737
144,1,0,0.2855993321,450,0.9220879195,0.01306449862
144,1,0,0.2855993321,452.5,0.9218561019,0.01311233689
144,1,0,0.2855993321,455,0.9216100695,0.01315886364
144,1,0,0.2855993321,457.5,0.9213760247,0.01321069364
144,1,0,0.2855993321,460,0.921113362,0.01325991877
144,1,0,0.2855993321,462.5,0.9208535451,0.01331091109
144,1,0,0.2855993321,465,0.920606341,0.01335614874
144,1,0,0.2855993321,467.5,0.9203895355,0.01338345641
144,1,0,0.2855993321,470,0.9201581539,0.01341216315
144,1,0,0.2855993321,472.5,0.9199072956,0.0134600754
144,1,0,0.2855993321,475,0.919666267,0.01350678806
144,1,0,0.2855993321,477.5,0.9194269599,0.01356253257
144,1,0,0.2855993321,480,0.9191717162,0.01362135626
144,1,0,0.2855993321,482.5,0.9189337345,0.01366389578
144,1,0,0.2855993321,485,0.9186754804,0.01370747851
144,1,0,0.2855993321,487.5,0.9184388919,0.01375339389
144,1,0,0.2855993321,490,0.9182139302,0.0137903797
144,1,0,0.2855993321,492.5,0.9179625821,0.01383874753
144,1,0,0.2855993321,495,0.9177168607,0.01389103883
144,1,0,0.2855993321,497.5,0.9174758567,0.01394963379
144,1,0,0.2855993321,500,0.9172451068,0.01400358017
144,1,0,0.2855993321,502.5,0.9170014068,0.01405222649
144,1,0,0.2855993321,505,0.9167531341,0.01409344819
144,1,0,0.2855993321,507.5,0.9165264949,0.0141262327
144,1,0,0.2855993321,510,0.9162942496,0.0141681326
144,1,0,0.2855993321,512.5,0.9160839095,0.01419959673
144,1,0,0.2855993321,515,0.9158715736,0.01423036931
144,1,0,0.2855993321,517.5,0.9156556416,0.01426021817
144,1,0,0.2855993321,520,0.9154363506,0.01430513807
144,1,0,0.2855993321,522.5,0.9152093072,0.01435811564
144,1,0,0.2855993321,525,0.9149918321,0.01441391308
144,1,0,0.2855993321,527.5,0.9147703481,0.01446536558
144,1,0,0.2855993321,530,0.9145569931,0.01453169917
144,1,0,0.2855993321,532.5,0.9143213413,0.01459307549
144,1,0,0.2855993321,535,0.9140686412,0.014658635
144,1,0,0.2855993321,537.5,0.9138212226,0.0147239047
144,1,0,0.2855993321,540,0.913561849,0.01478923585
144,1,0,0.2855993321,542.5,0.9133073974,0.01484640129
