run_id,n_chains,chain_length,box_size,eps_AB,delta_eps,seed,q_peak,S_psi_peak,S_psi_peak_sem_time,S_psi_kmin,S_rho_kmin,non_gaussian_ratio_peak,shell_anisotropy_peak,peak_intensity_relative_variance,cg_variance_1p5,cg_variance_2,cg_variance_3,tau_psi_peak,gamma_psi_peak,kww_tau_peak,kww_beta_peak,plateau_psi_peak,S_psi_peak_relative_drift,energy_per_bead,mean_Rg,T_inst_star,n_frames_window
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed3,144,40,22,0.9,0.1,3,0.2855993321,37.68795129,2.512728075,37.68795129,322.4533681,1.131369453,1.810045888,0.02537648709,0.1192342874,0.07916590878,0.03581815818,,0.0001556508669,137601.1315,0.4389913685,0.8771696687,0.1778421504,-2.134349048,3.04805479,1.000113584,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed4,144,40,22,0.9,0.1,4,0.2855993321,53.36610288,3.579155003,53.36610288,345.2317889,1.231754544,2.233035411,0.02528114074,0.1367740242,0.09214930859,0.04303926741,,0.0001221523852,3.246092116e+12,0.03859775298,0.9433398225,0.2294414449,-2.1429536,3.0921554,0.9991108037,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p85_seed1,144,40,22,0.85,0.15,1,0.2855993321,85.02990088,6.029691144,85.02990088,315.0015312,1.546151032,1.589659267,0.02508743264,0.2022785353,0.1456977131,0.07225669256,,8.951909542e-05,137126.6799,0.5891367139,0.9247045116,0.2524337345,-2.074061248,3.117798089,0.9983596255,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p85_seed2,144,40,22,0.85,0.15,2,0.2855993321,72.86268202,3.658019617,72.86268202,332.0068692,1.107525336,1.411967255,0.01909931772,0.1889364667,0.1347732841,0.06569018354,,0.0001182326405,6310.118433,2.157538943,0.8690034196,-0.113501455,-2.0744885,3.04315982,0.9993711579,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p85_seed3,144,40,22,0.85,0.15,3,0.4038984489,50.50970981,2.092862321,46.93491287,336.7329987,1.131528977,1.71569195,0.01165338945,0.1698247403,0.1178119903,0.05352615691,,0.0002490443991,77907727.68,0.141897761,0.9051489809,-0.05072189186,-2.071871717,3.066987125,1.000221891,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p85_seed4,144,40,22,0.85,0.15,4,0.2855993321,93.40449057,10.40666847,93.40449057,314.7561772,1.223878995,1.782404969,0.05891941392,0.1928157642,0.1403703318,0.07190180797,,5.552387816e-05,12572.15518,1.514925371,0.9216421833,0.3829420445,-2.067797429,3.082501203,1.000147177,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed1,144,40,22,0.8,0.2,1,0.2855993321,117.3958291,14.54229307,117.3958291,318.6513996,1.11512861,1.780995337,0.06665612579,0.2272884645,0.1662524867,0.08621384998,,6.536846007e-05,1.537949658e+13,0.03296997292,0.9592953725,0.430867777,-2.013694113,3.121255536,0.999247196,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed2,144,40,22,0.8,0.2,2,0.2855993321,138.1351694,14.14924414,138.1351694,319.3839322,1.065615951,1.428045328,0.04572407733,0.2267297249,0.1695340432,0.09206467015,,4.641091934e-05,4.684630719e+10,0.04146605948,0.9518961104,0.3470434918,-2.01217455,3.078605988,1.000247087,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed3,144,40,22,0.8,0.2,3,0.2855993321,81.39278585,2.583841737,81.39278585,303.8963835,1.078073191,1.875146819,0.01293807312,0.200672882,0.144390845,0.07093205269,,0.0001164792341,7.903673723e+11,0.03930661804,0.9447981338,0.01172084661,-1.997523727,3.028424004,0.9996073238,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed4,144,40,22,0.8,0.2,4,0.2855993321,125.139001,2.992281251,125.139001,306.1248764,1.054130101,2.13012634,0.005621694687,0.2288261281,0.1712519505,0.0914816591,,7.888598527e-05,4.338424313e+17,0.02488237846,0.9625360209,-0.0199156549,-2.005258184,3.11604811,1.000643649,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p75_seed1,144,40,22,0.75,0.25,1,0.2855993321,86.15580471,7.048188613,86.15580471,295.126519,1.097720328,2.070680048,0.03585460968,0.2395858969,0.1727021483,0.08421220121,,0.0001243496244,1132736.074,0.3425261523,0.9164784412,0.2769023967,-1.948362146,3.103832368,0.9996061401,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p75_seed2,144,40,22,0.75,0.25,2,0.4038984489,86.0212977,2.326708554,22.6361927,295.336169,1.187770747,2.075428943,0.005049766005,0.2179432128,0.1482393996,0.06068147053,,0.0001983437932,12472.35378,1.005486562,0.8282768281,0.08424393431,-1.941866045,3.096804913,1.000208792,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p75_seed3,144,40,22,0.75,0.25,3,0.2855993321,106.2625266,7.516675336,106.2625266,306.5057355,1.085272732,1.670488978,0.0252369997,0.2303810942,0.1707032118,0.0879611305,,6.168944654e-05,2.479529606e+17,0.02330424323,0.9736541134,0.2127751186,-1.942244448,3.121929746,1.000222569,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p75_seed4,144,40,22,0.75,0.25,4,0.2855993321,160.976653,15.45461227,160.976653,307.2986141,1.096461693,2.437671876,0.03971241858,0.2444479582,0.1858834858,0.1038117434,,4.672408171e-05,8.619165753e+18,0.02152557243,0.9731269588,0.3206304429,-1.947202992,3.067893403,1.000342169,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed1,144,40,22,0.7,0.3,1,0.2855993321,203.3262734,3.107272784,203.3262734,298.5607165,1.178253978,2.493604147,0.002160751112,0.2822856967,0.2180892653,0.1245309495,,4.669388471e-05,,,0.9794469115,0.03406204497,-1.899543281,3.10640022,0.9997088949,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed2,144,40,22,0.7,0.3,2,0.2855993321,126.4266021,6.214687878,126.4266021,293.7234492,1.155177333,2.123127839,0.01570460209,0.2570530635,0.1906854959,0.09887680288,,7.214004396e-05,7.770410355e+11,0.03738057602,0.9497411289,0.1958422859,-1.887606972,3.09390791,0.9997079441,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed3,144,40,22,0.7,0.3,3,0.2855993321,138.8782375,2.463709223,138.8782375,286.1077658,1.13875674,2.47583369,0.003168608378,0.2417181332,0.1819516715,0.09822884709,,7.110933182e-05,1.059949176e+16,0.0261789098,0.9655400049,0.03892439807,-1.875122509,3.121102678,0.9994116604,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed4,144,40,22,0.7,0.3,4,0.2855993321,129.608697,11.03231172,129.608697,286.1481483,1.062856627,2.003224741,0.0341070386,0.2565820003,0.1917080341,0.1009053999,,8.492101043e-05,20998.18465,1.110546979,0.9143252512,0.2944978548,-1.883949441,3.099052527,0.9996766299,2500
