n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.675,0.325,1.068614851,4.535804256,0.2369289012
144,0.675,0.325,1.142397329,5.162812694,1.697661554
144,0.675,0.325,1.177556213,2.99648186,0.224309837
144,0.675,0.325,1.211695347,2.844345481,0.1128771656
144,0.675,0.325,1.244898627,2.898624677,0.2789891211
144,0.675,0.325,1.277239042,2.294357209,0.1608987844
144,0.675,0.325,1.308780558,2.27082679,0.1001890109
144,0.675,0.325,1.339579608,2.113197384,0.06870560532
144,0.675,0.325,1.399145269,2.135617764,0.1047108011
144,0.675,0.325,1.427996661,1.935288888,0.08222102033
144,0.675,0.325,1.456276568,1.713047971,0.04597523117
144,0.675,0.325,1.484017662,1.81678236,0.04774379944
144,0.65,0.35,0.2855993321,15.66041177,2.189372977
144,0.65,0.35,0.4038984489,22.61843429,3.925590914
144,0.65,0.35,0.4946725539,33.16395255,6.440289609
144,0.65,0.35,0.5711986643,13.93755378,6.285919751
144,0.65,0.35,0.638619521,17.44614761,3.624978163
144,0.65,0.35,0.6995726346,22.54207037,1.155967872
144,0.65,0.35,0.8077968978,11.77841545,1.928527315
144,0.65,0.35,0.8567979964,15.41037814,1.486236191
144,0.65,0.35,0.9031443878,12.30224112,1.109965168
144,0.65,0.35,0.9472258251,9.114406053,1.348433286
144,0.65,0.35,0.9893451078,7.149005524,0.5631556301
144,0.65,0.35,1.029743036,6.155614938,0.6851085941
144,0.65,0.35,1.068614851,5.463729775,0.4969437953
144,0.65,0.35,1.142397329,3.26063458,0.6037323654
144,0.65,0.35,1.177556213,3.620744343,0.2286905496
144,0.65,0.35,1.211695347,3.274485684,0.2527269457
144,0.65,0.35,1.244898627,2.834834426,0.1490589133
144,0.65,0.35,1.277239042,2.692530981,0.24419324
144,0.65,0.35,1.308780558,2.533251972,0.118102217
144,0.65,0.35,1.339579608,2.252213231,0.1562047376
144,0.65,0.35,1.399145269,1.882421727,0.0473946323
144,0.65,0.35,1.427996661,1.902159287,0.1268346859
144,0.65,0.35,1.456276568,1.761135692,0.1058786103
144,0.65,0.35,1.484017662,1.944263611,0.1559603221
144,0.625,0.375,0.2855993321,15.92274242,4.145819873
144,0.625,0.375,0.4038984489,24.02367312,5.010257925
144,0.625,0.375,0.4946725539,27.61196742,9.141658852
144,0.625,0.375,0.5711986643,24.3282191,3.66791631
144,0.625,0.375,0.638619521,22.1172312,1.358574291
144,0.625,0.375,0.6995726346,20.37463361,2.810742637
144,0.625,0.375,0.8077968978,20.05468626,4.655086815
144,0.625,0.375,0.8567979964,11.82708952,0.8582486525
144,0.625,0.375,0.9031443878,12.68109789,2.34462811
144,0.625,0.375,0.9472258251,8.573499191,0.8221162839
144,0.625,0.375,0.9893451078,5.826157162,0.6035919021
144,0.625,0.375,1.029743036,6.475801496,1.116037894
144,0.625,0.375,1.068614851,4.68670815,0.3501171815
144,0.625,0.375,1.142397329,3.872117259,0.4206208317
144,0.625,0.375,1.177556213,3.572249396,0.2334647241
144,0.625,0.375,1.211695347,3.573248152,0.1423041708
144,0.625,0.375,1.244898627,2.96559319,0.1500686822
144,0.625,0.375,1.277239042,3.019042287,0.1408242103
144,0.625,0.375,1.308780558,2.458031199,0.0703083156
144,0.625,0.375,1.339579608,2.53655976,0.3063650509
144,0.625,0.375,1.399145269,1.854834961,0.09952583311
144,0.625,0.375,1.427996661,1.876231104,0.1593731856
144,0.625,0.375,1.456276568,1.893152663,0.04164148088
144,0.625,0.375,1.484017662,1.646742756,0.1402139834
144,0.6,0.4,0.2855993321,13.26813334,3.142475299
144,0.6,0.4,0.4038984489,23.89789076,4.771501508
144,0.6,0.4,0.4946725539,35.80155913,6.488818658
144,0.6,0.4,0.5711986643,15.73890075,4.065920582
144,0.6,0.4,0.638619521,22.47168149,1.32587796
144,0.6,0.4,0.6995726346,20.95893757,2.549757744
144,0.6,0.4,0.8077968978,16.16308337,3.574179939
144,0.6,0.4,0.8567979964,12.72702732,0.6441237826
144,0.6,0.4,0.9031443878,10.39373108,0.9589655585
144,0.6,0.4,0.9472258251,10.16072609,0.6565386318
144,0.6,0.4,0.9893451078,6.569661104,2.282483365
144,0.6,0.4,1.029743036,8.040341269,1.321472514
144,0.6,0.4,1.068614851,5.391763211,0.3289518748
144,0.6,0.4,1.142397329,5.926556718,0.5927468653
144,0.6,0.4,1.177556213,3.809843941,0.1698793766
144,0.6,0.4,1.211695347,4.114804886,0.1214510179
144,0.6,0.4,1.244898627,3.303220039,0.2280359601
144,0.6,0.4,1.277239042,3.336570884,0.3925354993
144,0.6,0.4,1.308780558,2.86991134,0.1522026661
144,0.6,0.4,1.339579608,2.485440838,0.2317641643
144,0.6,0.4,1.399145269,2.025036145,0.07743351587
144,0.6,0.4,1.427996661,1.76888902,0.07504177056
144,0.6,0.4,1.456276568,1.777501384,0.03103375275
144,0.6,0.4,1.484017662,1.797195318,0.1642426285
144,0.575,0.425,0.2855993321,20.41951279,6.947500926
144,0.575,0.425,0.4038984489,19.74839175,4.283189454
144,0.575,0.425,0.4946725539,39.4916268,6.872295367
144,0.575,0.425,0.5711986643,31.20880795,7.369359162
144,0.575,0.425,0.638619521,21.72552786,3.139746609
144,0.575,0.425,0.6995726346,22.7306247,4.089999734
144,0.575,0.425,0.8077968978,21.16871022,4.040529119
144,0.575,0.425,0.8567979964,15.56215417,2.26341308
144,0.575,0.425,0.9031443878,9.355932052,1.347723998
144,0.575,0.425,0.9472258251,8.839746984,0.896799187
