n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.75,0.25,1.308780558,202.8619887,9.375749095
144,0.75,0.25,1.339579608,197.5746232,20.23714013
144,0.75,0.25,1.399145269,189.6905036,29.85544005
144,0.75,0.25,1.427996661,164.7382386,38.11017276
144,0.75,0.25,1.456276568,140.3730489,8.008676198
144,0.75,0.25,1.484017662,140.4008544,24.48041579
144,0.725,0.275,0.2855993321,,
144,0.725,0.275,0.4038984489,,
144,0.725,0.275,0.4946725539,,
144,0.725,0.275,0.5711986643,,
144,0.725,0.275,0.638619521,,
144,0.725,0.275,0.6995726346,,
144,0.725,0.275,0.8077968978,,
144,0.725,0.275,0.8567979964,,
144,0.725,0.275,0.9031443878,,
144,0.725,0.275,0.9472258251,,
144,0.725,0.275,0.9893451078,,
144,0.725,0.275,1.029743036,,
144,0.725,0.275,1.068614851,,
144,0.725,0.275,1.142397329,206.8145409,
144,0.725,0.275,1.177556213,,
144,0.725,0.275,1.211695347,,
144,0.725,0.275,1.244898627,307.0038487,
144,0.725,0.275,1.277239042,224.2972426,42.44438576
144,0.725,0.275,1.308780558,222.5771543,37.28692991
144,0.725,0.275,1.339579608,196.0320937,32.01563743
144,0.725,0.275,1.399145269,215.740482,23.31332182
144,0.725,0.275,1.427996661,128.9458352,19.83266314
144,0.725,0.275,1.456276568,179.6779818,43.44822161
144,0.725,0.275,1.484017662,146.200872,29.71315983
144,0.7,0.3,0.2855993321,,
144,0.7,0.3,0.4038984489,,
144,0.7,0.3,0.4946725539,,
144,0.7,0.3,0.5711986643,,
144,0.7,0.3,0.638619521,,
144,0.7,0.3,0.6995726346,,
144,0.7,0.3,0.8077968978,,
144,0.7,0.3,0.8567979964,,
144,0.7,0.3,0.9031443878,,
144,0.7,0.3,0.9472258251,,
144,0.7,0.3,0.9893451078,,
144,0.7,0.3,1.029743036,,
144,0.7,0.3,1.068614851,,
144,0.7,0.3,1.142397329,218.4888287,
144,0.7,0.3,1.177556213,,
144,0.7,0.3,1.211695347,,
144,0.7,0.3,1.244898627,,
144,0.7,0.3,1.277239042,264.7975225,26.72209577
144,0.7,0.3,1.308780558,274.6099315,27.42416535
144,0.7,0.3,1.339579608,148.2412193,28.01045351
144,0.7,0.3,1.399145269,213.7744205,28.6785138
144,0.7,0.3,1.427996661,190.8436568,33.73462935
144,0.7,0.3,1.456276568,170.1278702,9.811606964
144,0.7,0.3,1.484017662,138.9022354,29.55244902
144,0.675,0.325,0.2855993321,,
144,0.675,0.325,0.4038984489,,
144,0.675,0.325,0.4946725539,,
144,0.675,0.325,0.5711986643,,
144,0.675,0.325,0.638619521,,
144,0.675,0.325,0.6995726346,,
144,0.675,0.325,0.8077968978,,
144,0.675,0.325,0.8567979964,,
144,0.675,0.325,0.9031443878,,
144,0.675,0.325,0.9472258251,,
144,0.675,0.325,0.9893451078,276.1677921,
144,0.675,0.325,1.029743036,,
144,0.675,0.325,1.068614851,,
144,0.675,0.325,1.142397329,222.4254828,
144,0.675,0.325,1.177556213,302.7351702,
144,0.675,0.325,1.211695347,284.0724847,0.806825891
144,0.675,0.325,1.244898627,238.8864845,
144,0.675,0.325,1.277239042,236.7586707,26.79575961
144,0.675,0.325,1.308780558,202.7097591,49.89161084
144,0.675,0.325,1.339579608,200.4524493,62.23078451
144,0.675,0.325,1.399145269,230.0030977,52.30799498
144,0.675,0.325,1.427996661,170.074861,20.26245065
144,0.675,0.325,1.456276568,148.1753516,11.98058373
144,0.675,0.325,1.484017662,181.1734918,25.70382049
144,0.65,0.35,0.2855993321,,
144,0.65,0.35,0.4038984489,,
144,0.65,0.35,0.4946725539,,
144,0.65,0.35,0.5711986643,,
144,0.65,0.35,0.638619521,,
144,0.65,0.35,0.6995726346,,
144,0.65,0.35,0.8077968978,,
144,0.65,0.35,0.8567979964,,
144,0.65,0.35,0.9031443878,,
144,0.65,0.35,0.9472258251,,
144,0.65,0.35,0.9893451078,,
144,0.65,0.35,1.029743036,,
144,0.65,0.35,1.068614851,,
144,0.65,0.35,1.142397329,197.8949532,44.63953764
144,0.65,0.35,1.177556213,,
144,0.65,0.35,1.211695347,295.8781619,
144,0.65,0.35,1.244898627,,
144,0.65,0.35,1.277239042,199.6017319,18.4976249
144,0.65,0.35,1.308780558,298.8705929,
144,0.65,0.35,1.339579608,249.4207722,19.00613045
144,0.65,0.35,1.399145269,167.6703467,34.86066969
144,0.65,0.35,1.427996661,214.7583872,36.23402447
144,0.65,0.35,1.456276568,156.9879324,30.70530976
144,0.65,0.35,1.484017662,157.8714331,15.47697069
144,0.625,0.375,0.2855993321,,
144,0.625,0.375,0.4038984489,,
144,0.625,0.375,0.4946725539,,
144,0.625,0.375,0.5711986643,,
144,0.625,0.375,0.638619521,,
144,0.625,0.375,0.6995726346,,
144,0.625,0.375,0.8077968978,,
144,0.625,0.375,0.8567979964,,
144,0.625,0.375,0.9031443878,,
144,0.625,0.375,0.9472258251,,
144,0.625,0.375,0.9893451078,,
144,0.625,0.375,1.029743036,,
144,0.625,0.375,1.068614851,,
144,0.625,0.375,1.142397329,203.0512468,62.88843461
144,0.625,0.375,1.177556213,,
144,0.625,0.375,1.211695347,,
144,0.625,0.375,1.244898627,297.2905691,
144,0.625,0.375,1.277239042,,
144,0.625,0.375,1.308780558,245.8739007,12.49697405
144,0.625,0.375,1.339579608,196.2180794,31.65625622
144,0.625,0.375,1.399145269,132.6228642,24.83581431
144,0.625,0.375,1.427996661,138.8267408,22.2764477
144,0.625,0.375,1.456276568,202.813056,26.39195238
144,0.625,0.375,1.484017662,153.6191921,43.48191539
144,0.6,0.4,0.2855993321,,
144,0.6,0.4,0.4038984489,,
144,0.6,0.4,0.4946725539,,
144,0.6,0.4,0.5711986643,,
144,0.6,0.4,0.638619521,,
144,0.6,0.4,0.6995726346,,
144,0.6,0.4,0.8077968978,,
144,0.6,0.4,0.8567979964,,
144,0.6,0.4,0.9031443878,,
144,0.6,0.4,0.9472258251,,
144,0.6,0.4,0.9893451078,,
144,0.6,0.4,1.029743036,,
144,0.6,0.4,1.068614851,,
144,0.6,0.4,1.142397329,,
144,0.6,0.4,1.177556213,,
144,0.6,0.4,1.211695347,,
144,0.6,0.4,1.244898627,,
144,0.6,0.4,1.277239042,170.9676413,
144,0.6,0.4,1.308780558,264.0690132,
144,0.6,0.4,1.339579608,202.5928059,45.1250693
144,0.6,0.4,1.399145269,191.3315665,8.355742306
144,0.6,0.4,1.427996661,127.1407052,22.16561121
144,0.6,0.4,1.456276568,165.576272,13.78495205
144,0.6,0.4,1.484017662,126.2676434,19.05400367
144,0.575,0.425,0.2855993321,,
144,0.575,0.425,0.4038984489,,
144,0.575,0.425,0.4946725539,,
144,0.575,0.425,0.5711986643,,
144,0.575,0.425,0.638619521,,
144,0.575,0.425,0.6995726346,,
144,0.575,0.425,0.8077968978,,
144,0.575,0.425,0.8567979964,,
144,0.575,0.425,0.9031443878,,
144,0.575,0.425,0.9472258251,,
144,0.575,0.425,0.9893451078,,
144,0.575,0.425,1.029743036,,
144,0.575,0.425,1.068614851,,
144,0.575,0.425,1.142397329,169.6572213,
144,0.575,0.425,1.177556213,,
144,0.575,0.425,1.211695347,,
144,0.575,0.425,1.244898627,240.4293578,55.14782395
144,0.575,0.425,1.277239042,229.5324864,
144,0.575,0.425,1.308780558,193.6083633,6.01714821
144,0.575,0.425,1.339579608,248.7936701,14.77706055
144,0.575,0.425,1.399145269,173.5439078,21.49859973
144,0.575,0.425,1.427996661,195.8980319,55.13338734
144,0.575,0.425,1.456276568,162.8031447,13.36954892
144,0.575,0.425,1.484017662,113.2036161,24.1865337
144,0.55,0.45,0.2855993321,,
144,0.55,0.45,0.4038984489,,
144,0.55,0.45,0.4946725539,,
144,0.55,0.45,0.5711986643,,
144,0.55,0.45,0.638619521,,
144,0.55,0.45,0.6995726346,,
144,0.55,0.45,0.8077968978,,
144,0.55,0.45,0.8567979964,,
144,0.55,0.45,0.9031443878,,
144,0.55,0.45,0.9472258251,,
144,0.55,0.45,0.9893451078,259.0171925,
