ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
iid,6.0,30,0.0,0.0,0,3000,351,0.14942528735632182,0.5695128626163128,10.464082192744792,20.956399336117137,6,406
iid,6.0,30,0.0,0.0,0,3000,415,0.14367816091954025,0.563765736179529,9.337985465691466,17.92391274787101,6,406
iid,6.0,30,0.0,0.0,0,3000,491,0.14696223316912974,0.6237000547345346,10.716459269540003,20.800048739524843,6,406
iid,6.0,30,0.0,0.0,0,3000,580,0.14655172413793102,0.46284893267652205,8.165118109539348,15.030646240116706,6,406
iid,6.0,30,0.0,0.0,0,3000,686,0.14696223316912974,0.4348659003831393,9.303150974303282,16.771960806455056,6,406
iid,6.0,30,0.0,0.0,0,3000,811,0.1444991789819376,0.5366721401204174,9.321554500677523,15.035673047357974,6,406
iid,6.0,30,0.0,0.0,0,3000,959,0.14285714285714288,0.5812807881773396,9.311091633716094,14.376420037081923,6,406
iid,6.0,30,0.0,0.0,0,3000,1134,0.14039408866995073,0.6395730706075543,10.905078372515675,17.827400803044302,6,406
iid,6.0,30,0.0,0.0,0,3000,1341,0.14367816091954022,0.557197591680351,10.636495869360072,17.55249937491923,6,406
iid,6.0,30,0.0,0.0,0,3000,1585,0.138752052545156,0.6852764094143424,15.195151872825596,24.08547422879211,6,406
iid,6.0,30,0.0,0.0,0,3000,1874,0.1325944170771757,0.6743979200875755,14.274654138658407,20.861034969234147,6,406
iid,6.0,30,0.0,0.0,0,3000,2215,0.13423645320197045,0.5227832512315276,21.54637947743582,36.86204716439332,6,406
iid,6.0,30,0.0,0.0,0,3000,2619,0.1325944170771757,0.5208675424192664,27.729927966894792,50.590697750545125,6,406
iid,6.0,30,0.0,0.0,0,3000,3097,0.1354679802955665,0.7848932676518888,35.88703761228471,68.3542202446279,6,406
iid,6.0,30,0.0,0.0,0,3000,3661,0.13464696223316913,0.5153256704980828,19.92796862168726,28.20724455705968,6,406
iid,6.0,30,0.0,0.0,0,3000,4329,0.1297208538587849,0.40613026819923254,20.015086071584346,29.600796623624998,6,406
iid,6.0,30,0.0,0.0,0,3000,5118,0.12725779967159276,0.4463601532567071,14.87041810695582,16.601191611881077,6,406
iid,6.0,30,0.0,0.0,0,3000,6051,0.12602627257799673,0.4609332238642565,32.54917868022023,59.33217322061889,6,406
iid,6.0,30,0.0,0.0,0,3000,7154,0.11822660098522168,0.3415435139573068,34.33668667931749,57.6728572510766,6,406
iid,6.0,30,0.0,0.0,0,3000,8458,0.12110016420361248,0.31314997263273125,50.122698066247345,94.22482349415161,6,406
iid,6.0,30,0.0,0.0,0,3000,10000,0.11740558292282431,0.2993979200875752,60.593896488284194,115.20446175296492,6,406
iid,6.0,30,0.0,0.0,0,10000,1,0.19376026272577995,0.7304324028461968,0.12099929496589067,0.25757752613940876,6,406
iid,6.0,30,0.0,0.0,0,10000,2,0.19376026272577995,0.7304324028461968,0.22646743808656536,0.5098812085518571,6,406
iid,6.0,30,0.0,0.0,0,10000,3,0.19088669950738915,0.7723727422003324,0.3230454761115265,0.6917760457092036,6,406
iid,6.0,30,0.0,0.0,0,10000,4,0.18965517241379307,0.7594417077175754,0.46788564445086683,0.9854832507142578,6,406
iid,6.0,30,0.0,0.0,0,10000,5,0.19088669950738915,0.7699096880131375,0.5412425056684478,1.16607754785701,6,406
iid,6.0,30,0.0,0.0,0,10000,6,0.18883415435139572,0.7879036672140132,0.5449794015870095,1.1279646302317263,6,406
iid,6.0,30,0.0,0.0,0,10000,7,0.18760262725779966,0.7942665571975922,0.604503003134461,1.237191394745641,6,406
iid,6.0,30,0.0,0.0,0,10000,9,0.18513957307060755,0.7564997263273154,0.5764892456961351,1.0580494087063634,6,406
iid,6.0,30,0.0,0.0,0,10000,10,0.1847290640394089,0.8448275862068917,0.6549152840928608,1.2259892114146305,6,406
iid,6.0,30,0.0,0.0,0,10000,12,0.18513957307060755,0.7335112205801884,0.5570420284987397,0.9283978016873102,6,406
iid,6.0,30,0.0,0.0,0,10000,15,0.1839080459770115,0.7484948002189398,0.46954350101335,0.6441811641712948,6,406
iid,6.0,30,0.0,0.0,0,10000,17,0.18472906403940884,0.7208538587849003,0.5020969462927326,0.6995122207849606,6,406
iid,6.0,30,0.0,0.0,0,10000,20,0.18513957307060755,0.7343322386425839,0.5981749491465272,0.8664072039271618,6,406
iid,6.0,30,0.0,0.0,0,10000,24,0.18637110016420363,0.7443897099069483,0.6406028075207838,0.9298342535596243,6,406
iid,6.0,30,0.0,0.0,0,10000,28,0.18637110016420363,0.8149972632731262,0.7904151585741898,1.3263721648302684,6,406
iid,6.0,30,0.0,0.0,0,10000,34,0.1839080459770115,0.7805145046524369,1.1800420980361377,2.1588099630295043,6,406
iid,6.0,30,0.0,0.0,0,10000,40,0.18431855500821018,0.7491105637657364,1.2864290296259897,2.3608169631392384,6,406
iid,6.0,30,0.0,0.0,0,10000,47,0.1798029556650246,0.6986863711001686,1.3124780893268146,2.296158282717088,6,406
iid,6.0,30,0.0,0.0,0,10000,56,0.1777504105090312,0.6481253420908579,1.4343429715654599,2.4018596622794863,6,406
