ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
correlated,6.0,30,0.7,0.8,1,0,5,0.004105090311986864,0.0038314176245210726,45.29894377549213,18.622674787323902,6,406
correlated,6.0,30,0.7,0.8,1,0,7,0.004105090311986864,0.0013683634373289537,75.15785843197058,26.06800079586979,6,406
correlated,6.0,30,0.7,0.8,1,0,11,0.003284072249589491,0.0013683634373289556,144.5967738879755,47.12105977317414,6,406
correlated,6.0,30,0.7,0.8,1,0,16,0.0024630541871921183,0.0008210180623973724,226.16822277474304,57.547482494616744,6,406
correlated,6.0,30,0.7,0.8,1,0,25,0.0024630541871921183,0.0016420361247947454,425.33377148702147,104.0288180677831,6,406
correlated,6.0,30,0.7,0.8,1,0,37,0.00041050903119868636,0.0003420908593322387,739.601097575492,211.70704424361716,6,406
correlated,6.0,30,0.7,0.8,1,0,55,0.0012315270935960591,0.0006157635467980298,1188.4661262227125,342.20171944323374,6,406
correlated,6.0,30,0.7,0.8,1,0,82,0.0008210180623973727,0.0005473453749315821,1780.35360025775,401.04915098729873,6,406
correlated,6.0,30,0.7,0.8,1,0,122,0.0016420361247947454,0.0013683634373289546,2745.1425340217843,838.792207995552,6,406
correlated,6.0,30,0.7,0.8,1,0,182,0.0008210180623973727,0.0005473453749315821,3315.0494809110273,1046.1587584892275,6,406
correlated,6.0,30,0.7,0.8,1,0,272,0.00041050903119868636,0.0003420908593322387,3983.0632636172645,1726.1745238943422,6,406
correlated,6.0,30,0.7,0.8,1,0,406,0.00041050903119868636,0.0003420908593322387,4546.888885501993,2167.550405206161,6,406
correlated,6.0,30,0.7,0.8,1,0,606,0.0008210180623973727,0.0005473453749315821,4881.616080880959,2196.2118290385574,6,406
correlated,6.0,30,0.7,0.8,1,0,905,0.0008210180623973727,0.0005473453749315821,5372.8259128221625,2291.429040300852,6,406
correlated,6.0,30,0.7,0.8,1,0,1350,0.002052545155993432,0.001984126984126984,5994.03002504069,2280.010606996965,6,406
correlated,6.0,30,0.7,0.8,1,0,2015,0.0016420361247947454,0.0013683634373289546,6557.878528313027,2399.365651957416,6,406
correlated,6.0,30,0.7,0.8,1,0,3008,0.002052545155993432,0.001984126984126984,6894.182625160123,2727.977995382546,6,406
correlated,6.0,30,0.7,0.8,1,0,4489,0.0024630541871921183,0.0016420361247947454,6967.373029826161,2709.3419611291406,6,406
correlated,6.0,30,0.7,0.8,1,0,6700,0.0024630541871921183,0.0016420361247947454,7058.139862385374,2778.435970348568,6,406
correlated,6.0,30,0.7,0.8,1,0,10000,0.0024630541871921183,0.002463054187192119,7143.011081659791,2770.216529284638,6,406
correlated,6.0,30,0.7,0.8,1,100,1,0.019704433497536946,0.039408866995073864,3.6557533266582047,1.3840820278193762,6,406
correlated,6.0,30,0.7,0.8,1,100,2,0.019704433497536946,0.04844006568144499,7.170439727768547,3.028400854139195,6,406
correlated,6.0,30,0.7,0.8,1,100,3,0.01847290640394089,0.04577175697865352,11.574910362551032,5.287934653032014,6,406
correlated,6.0,30,0.7,0.8,1,100,5,0.016009852216748766,0.03920361247947457,19.534888305352272,8.85758009726447,6,406
correlated,6.0,30,0.7,0.8,1,100,7,0.016009852216748766,0.03591954022988508,27.350566366521353,12.061617649275524,6,406
correlated,6.0,30,0.7,0.8,1,100,11,0.016830870279146138,0.03728790366721407,50.95199390561587,18.98626015678948,6,406
