run_index,run_id,n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,seed,realized_f_A,sequence_balance_attempts,n_early_frames,n_final_frames,early_first_step,early_last_step,final_first_step,final_last_step,secondary_per_seed_max_metric,secondary_per_seed_max_k_star,secondary_per_seed_max_k_star_units,secondary_per_seed_max_amplitude,secondary_per_seed_max_boundary,secondary_per_seed_max_early_to_final_change,secondary_per_seed_max_final_window_slope_per_step,diagnostic_AA_minus_AB_at_secondary_per_seed_max_k_star,diagnostic_AA_minus_AB_k_star,diagnostic_AA_minus_AB_peak_amplitude,primary_condition_selected_shell_index,primary_condition_selected_k_star,primary_condition_selected_k_star_units,primary_condition_selected_boundary,primary_at_condition_selected_shell_final,primary_at_condition_selected_shell_early,primary_at_condition_selected_shell_early_to_final_change,primary_at_condition_selected_shell_final_window_slope_per_step
10,M0288_N40_kappa0_pi0p990_seed1,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,1,0.5,94,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0137452994487048,nm^-1,7.3586240435684829,none,-0.94944943696477502,0.00016130469196944778,7.5454222624104936,1.0137452994487048,7.5454222624104936,17,1.0137452994487048,nm^-1,none,7.3586240435684829,8.3080734805332579,-0.94944943696477502,0.00016130469196944778
11,M0288_N40_kappa0_pi0p990_seed2,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,2,0.5,41,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.90672136057527364,nm^-1,12.198548074330182,none,2.5675847848984663,0.00012067596938733186,11.043060366865383,0.90672136057527364,11.043060366865383,17,1.0137452994487048,nm^-1,none,6.4752803269800312,6.1358006093593778,0.33947971762065343,8.036579640232448e-05
12,M0288_N40_kappa0_pi0p990_seed3,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,3,0.5,48,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0387798172673848,nm^-1,6.7876010101693272,none,-0.28159596970963552,-7.6431403754292302e-05,6.6143124081989288,0.81730758952815541,6.6446329525401486,17,1.0137452994487048,nm^-1,none,4.6347815546727391,4.7324365135560393,-0.097654958883300225,-1.5096764248806994e-05
13,M0288_N40_kappa0_pi0p990_seed4,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,4,0.5,17,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0632250398527014,nm^-1,7.9834828755997735,none,-1.7924100095445921,-4.5187712973387712e-05,7.9763180585946278,1.0632250398527014,7.9763180585946278,17,1.0137452994487048,nm^-1,none,5.5627303896482454,5.7874290963539199,-0.22469870670567449,-5.1409917284609579e-05
14,M0288_N40_kappa0_pi0p990_seed5,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,5,0.5,89,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0137452994487048,nm^-1,8.9697739032070967,none,1.6523361479663787,0.000133776794304764,8.9167953815351968,1.0137452994487048,8.9167953815351968,17,1.0137452994487048,nm^-1,none,8.9697739032070967,7.3174377552407179,1.6523361479663787,0.000133776794304764
15,M0288_N40_kappa1_pi0p990_seed1,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,1,0.5,3717,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,585.72968461942776,q_min,54.67318303075308,0.0049298003171292836,557.07849877717956,0.22668034014381841,557.07849877717956,0,0.22668034014381841,nm^-1,q_min,585.72968461942776,531.05650158867468,54.67318303075308,0.0049298003171292836
16,M0288_N40_kappa1_pi0p990_seed2,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,2,0.5,598,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,913.23843802118211,q_min,27.256336005457229,0.0008280347371628857,918.91576020784714,0.22668034014381841,918.91576020784714,0,0.22668034014381841,nm^-1,q_min,913.23843802118211,885.98210201572488,27.256336005457229,0.0008280347371628857
17,M0288_N40_kappa1_pi0p990_seed3,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,3,0.5,44,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,781.95259441657436,q_min,13.623018432762592,0.0014634829605460167,796.81090174661983,0.22668034014381841,796.81090174661983,0,0.22668034014381841,nm^-1,q_min,781.95259441657436,768.32957598381176,13.623018432762592,0.0014634829605460167
18,M0288_N40_kappa1_pi0p990_seed4,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,4,0.5,45,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,873.68548738577829,q_min,10.323265972386594,-0.00062837159140837612,852.0502725401501,0.22668034014381841,852.0502725401501,0,0.22668034014381841,nm^-1,q_min,873.68548738577829,863.36222141339169,10.323265972386594,-0.00062837159140837612
19,M0288_N40_kappa1_pi0p990_seed5,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,5,0.5,29,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,712.01135987500606,q_min,25.002479596701392,0.0012913588553464389,658.7537133736804,0.22668034014381841,658.7537133736804,0,0.22668034014381841,nm^-1,q_min,712.01135987500606,687.00888027830467,25.002479596701392,0.0012913588553464389
20,M0576_N40_kappa0_pi0p990_seed1,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,1,0.5,326,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0794978312144199,nm^-1,7.9391221379254064,none,0.35778433728286796,0.00020745902381183679,7.885210801528447,1.0794978312144199,7.885210801528447,31,1.0943881598748775,nm^-1,none,3.9306397985624586,4.2284435161652834,-0.29780371760282476,-3.5041412658829083e-05
21,M0576_N40_kappa0_pi0p990_seed2,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,2,0.5,51,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0335404863688618,nm^-1,7.455993632065824,none,0.46040235691429565,-6.1054475136600192e-05,7.5785974314500848,1.0335404863688618,7.5785974314500848,31,1.0943881598748775,nm^-1,none,5.8846577649889165,6.164765309769316,-0.28010754478039956,7.3205456601214794e-06
22,M0576_N40_kappa0_pi0p990_seed3,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,3,0.5,44,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0177603156371833,nm^-1,8.7090728645898619,none,0.59150674379302615,-0.00011222433319318097,8.1727305141234634,1.0177603156371833,8.1727305141234634,31,1.0943881598748775,nm^-1,none,7.0353623328234978,8.6961468057687021,-1.6607844729452044,3.1308418647387406e-05
23,M0576_N40_kappa0_pi0p990_seed4,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,4,0.5,289,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0943881598748775,nm^-1,11.425396408982452,none,0.81485364120108628,-0.00013204319420793417,11.389033265526944,1.0943881598748775,11.389033265526944,31,1.0943881598748775,nm^-1,none,11.425396408982452,10.610542767781366,0.81485364120108628,-0.00013204319420793417
24,M0576_N40_kappa0_pi0p990_seed5,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,5,0.5,326,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0794978312144199,nm^-1,7.9616358655681534,none,-0.12079519357334156,0.00010039078169463492,8.2686159069907319,1.0794978312144199,8.2686159069907319,31,1.0943881598748775,nm^-1,none,5.8591946356432185,6.0361436909578057,-0.17694905531458716,-4.2950322491717908e-05
25,M0576_N40_kappa1_pi0p990_seed1,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,1,0.5,374,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.25444007890929582,nm^-1,518.05163191112808,none,11.411132246367686,0.0020037817637158502,541.26316370628592,0.25444007890929582,541.26316370628592,1,0.25444007890929582,nm^-1,none,518.05163191112808,506.6404996647604,11.411132246367686,0.0020037817637158502
26,M0576_N40_kappa1_pi0p990_seed2,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,2,0.5,336,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.17991630520240331,nm^-1,1103.3999039767598,q_min,35.750214784806758,0.0019826118145109153,1083.9150829098953,0.17991630520240331,1083.9150829098953,1,0.25444007890929582,nm^-1,none,491.74212270029085,496.68530911572668,-4.9431864154358323,0.0006941460427920276
27,M0576_N40_kappa1_pi0p990_seed3,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,3,0.5,1644,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.17991630520240331,nm^-1,769.5753743900251,q_min,29.069933418933488,0.0010348776633746805,974.53189087726082,0.17991630520240331,974.53189087726082,1,0.25444007890929582,nm^-1,none,527.24601691788132,526.95520054072176,0.29081637715955821,0.00047446273774263102
28,M0576_N40_kappa1_pi0p990_seed4,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,4,0.5,541,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.25444007890929582,nm^-1,690.33932769632543,none,13.486825211356518,0.0011235114078885411,706.889306240412,0.25444007890929582,706.889306240412,1,0.25444007890929582,nm^-1,none,690.33932769632543,676.85250248496891,13.486825211356518,0.0011235114078885411
29,M0576_N40_kappa1_pi0p990_seed5,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,5,0.5,71,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.25444007890929582,nm^-1,649.73124086556311,none,17.429469468730758,0.0019091673443161999,602.9271606472164,0.25444007890929582,602.9271606472164,1,0.25444007890929582,nm^-1,none,649.73124086556311,632.30177139683235,17.429469468730758,0.0019091673443161999
