n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.6,0.4,1.177556213,1.600181461,0.02788465835
144,0.6,0.4,1.211695347,1.562693276,0.03005342469
144,0.6,0.4,1.244898627,1.520447339,0.03085506932
144,0.6,0.4,1.277239042,1.466483938,0.03584092011
144,0.6,0.4,1.308780558,1.43411494,0.02791191749
144,0.6,0.4,1.339579608,1.394321037,0.02569123012
144,0.6,0.4,1.399145269,1.318348316,0.01612552864
144,0.6,0.4,1.427996661,1.2932318,0.01483735551
144,0.6,0.4,1.456276568,1.271778883,0.01673852723
144,0.6,0.4,1.484017662,1.247775192,0.01543063002
144,0.5,0.5,0.2855993321,148.570358,4.900880475
144,0.5,0.5,0.4038984489,15.80627392,0.9037054987
144,0.5,0.5,0.4946725539,11.2329118,2.561205312
144,0.5,0.5,0.5711986643,5.633595624,0.2661072614
144,0.5,0.5,0.638619521,4.830986991,0.2584087451
144,0.5,0.5,0.6995726346,3.697931646,0.1126333973
144,0.5,0.5,0.8077968978,2.887832892,0.0840372503
144,0.5,0.5,0.8567979964,2.626885476,0.0777347896
144,0.5,0.5,0.9031443878,2.368299115,0.0445849095
144,0.5,0.5,0.9472258251,2.244417153,0.06277052582
144,0.5,0.5,0.9893451078,2.119955668,0.1001743169
144,0.5,0.5,1.029743036,1.983155582,0.0416212266
144,0.5,0.5,1.068614851,1.908241023,0.0496155886
144,0.5,0.5,1.142397329,1.708559752,0.008587848206
144,0.5,0.5,1.177556213,1.663391992,0.02733341415
144,0.5,0.5,1.211695347,1.594450062,0.02539455146
144,0.5,0.5,1.244898627,1.548395428,0.03246968493
144,0.5,0.5,1.277239042,1.515411741,0.02664017451
144,0.5,0.5,1.308780558,1.471420577,0.02431772886
144,0.5,0.5,1.339579608,1.413191166,0.02458385492
144,0.5,0.5,1.399145269,1.357563792,0.01085944654
144,0.5,0.5,1.427996661,1.340228121,0.01347152151
144,0.5,0.5,1.456276568,1.299060103,0.01459704893
144,0.5,0.5,1.484017662,1.270305514,0.01325654466
144,0.3,0.7,0.2855993321,172.5914361,5.506455483
144,0.3,0.7,0.4038984489,13.54861768,1.127376726
144,0.3,0.7,0.4946725539,8.353833557,0.8228248191
144,0.3,0.7,0.5711986643,6.601296246,1.030123493
144,0.3,0.7,0.638619521,5.154206637,0.1494969349
144,0.3,0.7,0.6995726346,3.9360887,0.1281417227
144,0.3,0.7,0.8077968978,3.000296629,0.06662242864
144,0.3,0.7,0.8567979964,2.878342138,0.06800805652
144,0.3,0.7,0.9031443878,2.586543908,0.04785959176
144,0.3,0.7,0.9472258251,2.439032036,0.05114979865
144,0.3,0.7,0.9893451078,2.338994116,0.04635350706
144,0.3,0.7,1.029743036,2.136633769,0.02607938065
144,0.3,0.7,1.068614851,2.032516836,0.03065407227
144,0.3,0.7,1.142397329,1.838052698,0.02658429648
144,0.3,0.7,1.177556213,1.804597517,0.02674381073
144,0.3,0.7,1.211695347,1.711960641,0.0144031948
144,0.3,0.7,1.244898627,1.682415239,0.01949047534
144,0.3,0.7,1.277239042,1.62910561,0.03306815441
144,0.3,0.7,1.308780558,1.567674458,0.02104377404
144,0.3,0.7,1.339579608,1.512758223,0.02070591718
144,0.3,0.7,1.399145269,1.437231371,0.01667888147
144,0.3,0.7,1.427996661,1.400136991,0.01866465174
144,0.3,0.7,1.456276568,1.368820971,0.01153662837
144,0.3,0.7,1.484017662,1.338622603,0.003445515228
144,0.1,0.9,0.2855993321,176.8820984,9.36810952
144,0.1,0.9,0.4038984489,15.88877881,1.734047105
144,0.1,0.9,0.4946725539,10.90850871,1.285790726
144,0.1,0.9,0.5711986643,6.295086071,0.4742385982
144,0.1,0.9,0.638619521,5.466123374,0.2483661374
144,0.1,0.9,0.6995726346,4.457661601,0.1446552327
144,0.1,0.9,0.8077968978,3.584509615,0.09724457998
144,0.1,0.9,0.8567979964,3.249022042,0.1178080188
144,0.1,0.9,0.9031443878,2.96140605,0.04337059711
144,0.1,0.9,0.9472258251,2.663846259,0.06084877315
144,0.1,0.9,0.9893451078,2.478307355,0.08415271992
144,0.1,0.9,1.029743036,2.365529547,0.0681482018
144,0.1,0.9,1.068614851,2.263275695,0.04681319385
144,0.1,0.9,1.142397329,2.00523003,0.07128006241
144,0.1,0.9,1.177556213,1.941378757,0.04881884919
144,0.1,0.9,1.211695347,1.844840415,0.0307173365
144,0.1,0.9,1.244898627,1.788562526,0.03553455824
144,0.1,0.9,1.277239042,1.71897163,0.02178630263
144,0.1,0.9,1.308780558,1.66474629,0.02230499412
144,0.1,0.9,1.339579608,1.604373566,0.01312889858
144,0.1,0.9,1.399145269,1.50070186,0.01166865272
144,0.1,0.9,1.427996661,1.468111549,0.01219453515
144,0.1,0.9,1.456276568,1.42422583,0.0126205889
144,0.1,0.9,1.484017662,1.400272877,0.01287517626
