run_index,run_id,n_chains,kappa,pi,seed,shell_index,shell_n2,degeneracy,q,q_units,S_AA,S_BB,S_AB,S_CC,S_psi_psi_over_2,S_psi_psi_over_2_early,S_psi_psi_over_2_early_to_final_change,S_psi_psi_over_2_final_window_slope_per_step,diagnostic_AA_minus_AB
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,21,25,30,1.133401700719092,nm^-1,0.46187357118028538,0.50006724193046481,0.0018736289788912285,0.95819355515296789,0.47909677757648395,0.59279368860123038,-0.11369691102474644,-3.5274244897083238e-07,0.45999994220139417
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,22,26,72,1.1558474777411798,nm^-1,0.49241207472482007,0.49922212501428931,0.019170978595666847,0.95329224254777567,0.47664612127388784,0.50535176269057724,-0.028705641416689409,-1.1864876769410433e-05,0.47324109612915322
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,23,27,32,1.1778655986182653,nm^-1,0.55546546824493004,0.57598861694321157,-0.036438941591265692,1.2043319683706728,0.6021659841853364,0.41321434583619093,0.18895163834914547,1.2511210924014426e-05,0.59190440983619574
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,24,29,72,1.2207109902117697,nm^-1,0.52421944839532553,0.55719527036855143,-0.0038704590710358449,1.089155636905949,0.54457781845297448,0.48261354044069094,0.061964278012283547,-8.9162587870425229e-06,0.52808990746636142
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,25,30,48,1.241579356397132,nm^-1,0.55103317898585435,0.5143819460220177,0.0031400701776457978,1.0591349846525806,0.5295674923262903,0.37908526609558935,0.15048222623070096,-9.9507955728718681e-07,0.54789310880820852
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,26,32,12,1.2822976454189374,nm^-1,0.37118119155045715,0.60164341632832719,0.14190910858793759,0.68900639070290914,0.34450319535145457,0.52383280065508708,-0.17932960530363251,3.3657005000415494e-05,0.22927208296251955
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,27,33,48,1.3021794146947141,nm^-1,0.55036673583562856,0.58341076662600488,0.069632863312623416,0.99451177583638661,0.49725588791819331,0.5047520698625183,-0.0074961819443249977,1.9975579421871015e-05,0.48073387252300515
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,28,34,48,1.3217621588857753,nm^-1,0.5083844777083899,0.49604166769068803,-0.0079409388185635761,1.0203080230362049,0.51015401151810247,0.41001088902616695,0.10014312249193552,-1.5609054024873695e-05,0.51632541652695352
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,29,35,48,1.3410589775509885,nm^-1,0.51894987290532879,0.50567313486252363,-0.032472415615334337,1.0895678389985211,0.54478391949926053,0.48146860126036223,0.063315318238898299,3.2282252494828655e-05,0.55142228852066311
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,30,36,30,1.3600820408629104,nm^-1,0.47415358260895257,0.53655738444062839,-0.029417156553697033,1.0695452801569751,0.53477264007848757,0.4591696599034723,0.075602980175015266,2.1135064637758474e-05,0.50357073916264961
