run_index,run_id,n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,seed,realized_f_A,sequence_balance_attempts,n_early_frames,n_final_frames,early_first_step,early_last_step,final_first_step,final_last_step,secondary_per_seed_max_metric,secondary_per_seed_max_k_star,secondary_per_seed_max_k_star_units,secondary_per_seed_max_amplitude,secondary_per_seed_max_boundary,secondary_per_seed_max_early_to_final_change,secondary_per_seed_max_final_window_slope_per_step,diagnostic_AA_minus_AB_at_secondary_per_seed_max_k_star,diagnostic_AA_minus_AB_k_star,diagnostic_AA_minus_AB_peak_amplitude,primary_condition_selected_shell_index,primary_condition_selected_k_star,primary_condition_selected_k_star_units,primary_condition_selected_boundary,primary_at_condition_selected_shell_final,primary_at_condition_selected_shell_early,primary_at_condition_selected_shell_early_to_final_change,primary_at_condition_selected_shell_final_window_slope_per_step
10,M0288_N40_kappa0_pi0p990_seed1,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,1,0.5,94,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.4336523512723329,nm^-1,0.65510588686698257,none,0.14908219730269101,-2.8364527173485009e-05,0.66683319691502574,0.39262186620608847,0.73039542191369167,16,0.98807669517433072,nm^-1,none,0.42038762706065291,0.52242503790428396,-0.10203741084363105,6.6800243444108506e-06
11,M0288_N40_kappa0_pi0p990_seed2,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,2,0.5,41,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.90672136057527364,nm^-1,0.66110811764030919,none,-0.0025880895656394953,1.106034084090528e-05,0.74935287909764825,0.90672136057527364,0.74935287909764825,16,0.98807669517433072,nm^-1,none,0.56339194863344066,0.54013874206678658,0.023253206566654083,-5.8875774263564952e-06
12,M0288_N40_kappa0_pi0p990_seed3,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,3,0.5,48,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.98807669517433072,nm^-1,8.3056351575446055,none,0.61488850746908597,3.9430211915305155e-05,8.4563339810433185,0.98807669517433072,8.4563339810433185,16,0.98807669517433072,nm^-1,none,8.3056351575446055,7.6907466500755195,0.61488850746908597,3.9430211915305155e-05
13,M0288_N40_kappa0_pi0p990_seed4,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,4,0.5,17,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.98807669517433072,nm^-1,7.624769257080632,none,0.40957870738142166,0.00018316944599456719,7.8647801116436256,0.98807669517433072,7.8647801116436256,16,0.98807669517433072,nm^-1,none,7.624769257080632,7.2151905496992104,0.40957870738142166,0.00018316944599456719
14,M0288_N40_kappa0_pi0p990_seed5,288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,5,0.5,89,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.98807669517433072,nm^-1,9.7659750975240947,none,-1.4393430965308056,-0.00018919312304991164,9.9033607119319651,0.98807669517433072,9.9033607119319651,16,0.98807669517433072,nm^-1,none,9.7659750975240947,11.2053181940549,-1.4393430965308056,-0.00018919312304991164
15,M0288_N40_kappa1_pi0p990_seed1,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,1,0.5,3717,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.78524373241217693,nm^-1,0.6931001592379622,none,0.15047792686230921,2.0062985207764259e-06,0.61228583560104821,0.55525116807288499,0.70833282221770233,0,0.22668034014381841,nm^-1,q_min,0.47444292031775354,0.53552555197447371,-0.061082631656720177,-8.1605295469423033e-05
16,M0288_N40_kappa1_pi0p990_seed2,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,2,0.5,598,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.45336068028763682,nm^-1,0.69473853940289065,none,0.29845669308891831,-3.3154527170864187e-05,0.70070355564123132,0.45336068028763682,0.70070355564123132,0,0.22668034014381841,nm^-1,q_min,0.61012792160267904,0.36264955332255167,0.24747836828012737,-0.00010955170743135343
17,M0288_N40_kappa1_pi0p990_seed3,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,3,0.5,44,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.32057441135473436,nm^-1,427.77454089640617,none,-3.8722710031194651,-0.00067814152995281042,371.71952346681348,0.32057441135473436,371.71952346681348,0,0.22668034014381841,nm^-1,q_min,237.18694238825873,221.93986510454761,15.247077283711121,0.00094592383738591451
18,M0288_N40_kappa1_pi0p990_seed4,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,4,0.5,45,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,838.60973372623778,q_min,21.30072920230225,0.0019057180075175361,789.70960274913591,0.22668034014381841,789.70960274913591,0,0.22668034014381841,nm^-1,q_min,838.60973372623778,817.30900452393553,21.30072920230225,0.0019057180075175361
19,M0288_N40_kappa1_pi0p990_seed5,288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,5,0.5,29,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.22668034014381841,nm^-1,920.4884512673982,q_min,15.316669057062427,0.0010417719432801473,893.93986821636668,0.22668034014381841,893.93986821636668,0,0.22668034014381841,nm^-1,q_min,920.4884512673982,905.17178221033578,15.316669057062427,0.0010417719432801473
