n_chains,kappa,pi,n_seeds,bin_index,q_low,q_high,q_units,selected_as_sensitivity_peak,S_psi_psi_over_2_final_mean,S_psi_psi_over_2_final_sem,S_psi_psi_over_2_early_mean,S_psi_psi_over_2_early_sem,early_to_final_change_mean,early_to_final_change_sem,final_window_slope_mean_per_step,final_window_slope_sem_per_step
288,1,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,7.3083443542543565,2.7881288741408388,7.2560579188012486,2.7801440156821138,0.052286435453108002,0.066290562482432869,2.2156578271136107e-05,1.8288830908026718e-05
288,1,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,3.1973598679707607,1.133921839518524,3.1848855412044372,1.1025750234479628,0.012474326766323618,0.064816630465902469,-8.0077762185681369e-06,1.1600853813475283e-05
288,1,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,1.9030883486606953,0.58706827263569628,1.8983902449924912,0.58766820736531533,0.0046981036682038459,0.025598479783646329,-4.5646107141075832e-07,8.8777197822956591e-06
288,1,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,False,0.86685557048185069,0.16313863146762309,0.86190883875380264,0.15861915677369698,0.0049467317280480483,0.0061579439298702866,7.7493653129931599e-06,4.3822765072998352e-06
288,1,0.98999999999999999,5,6,1.05,1.2,nm^-1,False,0.5853221404145319,0.038661120299432764,0.57802102797847321,0.043029864465189846,0.0073011124360585437,0.0097811585237885107,-2.3495864048609257e-06,2.5815554363604579e-06
288,1,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,0.45432941751174843,0.030953820411554079,0.45234900021421059,0.032412092516169749,0.0019804172975378732,0.0050035690718804515,2.791815754911221e-06,1.2047790873397457e-06
288,1,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,0.3680088825577707,0.055362984667436776,0.35275277472720368,0.0524183591992698,0.015256107830567023,0.005473727894210534,4.0498464177276395e-07,1.6889902414300055e-06
576,0,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,False,0.58211609145254073,0.078738797121707338,0.62821941927649494,0.073700288725937771,-0.046103327823954231,0.014495934828800221,5.7115823097700535e-06,1.4666911237032749e-06
576,0,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,1.0097609685484206,0.13443595671678396,1.014319937800616,0.13809989355229399,-0.0045589692521952772,0.025873065603993939,7.8775716807942793e-06,6.6660428338623203e-06
576,0,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,1.2073335127023757,0.17472228537491885,1.2102979150236892,0.1984061118230433,-0.0029644023213134751,0.042542859863011206,-4.217623408573074e-06,4.0650897460133477e-06
576,0,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,1.9722510225174972,0.36899675053760211,1.9797958436930685,0.3709177882506558,-0.0075448211755713588,0.028210279860037407,8.6461827040730674e-07,4.0143208708383097e-06
576,0,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,2.9256681113828358,0.62491406486654999,2.8671438945418082,0.6159831529421238,0.058524216841026835,0.066409262432506527,-2.1708800811533315e-06,4.5430018098288714e-06
576,0,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,True,4.6094940207659807,1.0361526847460918,4.5466182175523091,1.0199625224190469,0.062875803213670783,0.019707459639147905,-7.7604304643297074e-06,1.2186603992768001e-05
576,0,0.98999999999999999,5,6,1.05,1.2,nm^-1,False,4.4475345777578221,1.0064857246358232,4.4928333702222156,1.016709730385464,-0.045298792464393986,0.016756869804319448,-1.2108931793056682e-05,6.0530809494953795e-06
576,0,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,3.0124373896422796,0.63231795270056934,3.0195514617086516,0.63216563404969739,-0.0071140720663719348,0.022581910275438554,1.068519460893219e-05,1.0746595220743921e-05
576,0,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,1.6493030193447367,0.28037258292144268,1.6630824535008997,0.29055377023932288,-0.013779434156162739,0.024266771001564512,-1.9476990731307251e-06,1.8122691910679199e-06
576,1,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,True,468.25899350856361,121.57426001091952,463.20879689051708,119.95870382729136,5.0501966180465843,2.4914916361480368,0.00023949883573879307,0.00034682188115805915
576,1,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,60.757148265591297,17.760989178770252,61.463122711102038,17.779962623396507,-0.70597444551073518,0.61416108063616393,1.7958503759761587e-05,9.3516387542290811e-05
576,1,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,9.1724756571889259,2.2568943117591331,9.5359806611425668,2.3520527900870625,-0.36350500395363927,0.12890590909108909,-5.482240849517641e-05,1.7715169897918704e-05
576,1,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,4.2504636453316307,0.98521332859774946,4.2789355120548374,0.97862665894775613,-0.028471866723207073,0.048205684762433761,1.2358130003360017e-05,1.1080009937105847e-05
576,1,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,2.1643383847363546,0.44542315803236854,2.1712087262385484,0.44219732939754663,-0.0068703415021934998,0.041203688847949879,4.8392457772372164e-06,5.330577919735579e-06
576,1,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,False,1.0380400229020188,0.14533825678123791,1.0458800047184678,0.14791508663315003,-0.0078399818164489824,0.018582306968508034,-1.4622920998592236e-06,3.6345337115346016e-06
576,1,0.98999999999999999,5,6,1.05,1.2,nm^-1,False,0.60106889108217909,0.034681000870545486,0.61390102734452889,0.03944247418777861,-0.012832136262349881,0.0085748802876316876,-4.9372441206748689e-07,1.3410160066097629e-06
576,1,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,0.4296757705825307,0.022796376028415399,0.42529159088589685,0.021831873422950909,0.004384179696633861,0.0034410618802454516,-3.8273779691407973e-07,7.2899292613955693e-07
576,1,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,0.31123786415061738,0.046012190398532583,0.31087353306507398,0.046238064770160452,0.00036433108554340674,0.0040554363320208535,4.1321177450952347e-07,1.1358598967055846e-06
