N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
16,0.3,0.9,3,0.0010002389651735109,0.002750698462585463,0.9744394086816974,-9207.665748596191,1.7355965067631856
16,0.3,0.9,4,0.0009337195800311862,0.002486368992515025,1.3642151721543765,-9143.491997718813,1.717708466046277
16,0.6,0.99,1,0.0027709684001963595,0.0047213604740613275,0.5846636452090185,-9692.157165527344,1.6546904123864887
16,0.6,0.99,2,0.002856597124974452,0.004706577393916576,0.5846636452090185,-9622.78479719162,1.6729730430614989
16,0.6,0.99,3,0.001923406589439447,0.00415231402678406,0.9744394086816974,-9564.05759716034,1.6768575385094298
16,0.6,0.99,4,0.0021965224330779552,0.0029800478779426092,0.9744394086816974,-9847.006308078766,1.6138584728672771
16,0.6,0.9,1,0.0017085332369971271,0.0034716640761928144,0.9744394086816974,-9569.8348031044,1.7652372767502382
16,0.6,0.9,2,0.001989004033060623,0.0037041482228812443,0.9744394086816974,-9405.520581245422,1.7238017228683298
16,0.6,0.9,3,0.0012989587482101603,0.0019322143381561609,0.9744394086816974,-9378.47190284729,1.704718725465951
16,0.6,0.9,4,0.0017491246920519805,0.0029124542161168597,0.9744394086816974,-9567.329465389252,1.6591970913210163
16,0.9,0.99,1,0.00849916432938638,0.007034837739870318,0.5846636452090185,-10520.120808124542,1.6587646556004243
16,0.9,0.99,2,0.009476711258835598,0.009288831178218385,0.5846636452090185,-10568.690770149233,1.6244685255716302
16,0.9,0.99,3,0.004296809686817021,0.004811030045109515,0.5846636452090185,-10607.482436180117,1.6251483933716708
16,0.9,0.99,4,0.003987752868480586,0.0036062785341516657,0.5846636452090185,-10574.83873271942,1.6297202905822985
16,0.9,0.9,1,0.002887556972147844,0.004522835934663956,0.5846636452090185,-9859.86909866333,1.7495244399233831
16,0.9,0.9,2,0.00521571601764227,0.0059757105248531076,0.5846636452090185,-10322.352378368378,1.7151039253927176
16,0.9,0.9,3,0.0029873882418517423,0.002178090582700801,0.9744394086816974,-10099.534412384031,1.7302303130074672
