eps,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
0.003,0.7,0.9,2,0.007451474746797658,0.017594133730034912,0.9995976625058433,-23765.96968460083,2.4644535942459975
0.003,0.7,0.9,3,0.010428195442304417,0.020986170382373555,0.7139983303613167,-24003.7628326416,2.4490223472800676
0.003,0.7,0.9,4,0.012004982857759482,0.022466646891948404,0.7139983303613167,-24315.24732971191,2.4302473651824132
0.003,0.95,0.99,1,0.052823510520669165,0.036443712449433174,0.7139983303613167,-28054.915355682373,2.4810106507731984
0.003,0.95,0.99,2,0.03656659879227726,0.032339240982811254,0.7139983303613167,-26366.30789375305,2.4787556239755335
0.003,0.95,0.99,3,0.038212659692485114,0.02774043769663618,0.7139983303613167,-26959.197324752808,2.448762286494334
0.003,0.95,0.99,4,0.03748733010979312,0.02986780994453888,0.7139983303613167,-27204.910541534424,2.4308582359358777
0.003,0.95,0.9,1,0.012729300735235611,0.018359022327097164,0.9995976625058433,-24789.137615203857,2.5323643160518308
0.003,0.95,0.9,2,0.019899520576361997,0.019615174432632304,0.7139983303613167,-25016.605979919434,2.4927274083629833
0.003,0.95,0.9,3,0.021568721634652073,0.025906929561090787,0.7139983303613167,-24850.269397735596,2.5143487531868876
0.003,0.95,0.9,4,0.025578986195215796,0.02721466260353287,0.7139983303613167,-25257.41930961609,2.4935613465665085
0.003,0.9,0.99,1,0.04031249568316487,0.03345236242683993,0.7139983303613167,-26647.866493225098,2.510232159199013
0.003,0.9,0.99,2,0.03261130513256228,0.03142983937728189,0.7139983303613167,-25658.382049560547,2.482755251538336
0.003,0.9,0.99,3,0.03739459733648722,0.02977660523255774,0.7139983303613167,-26552.633808135983,2.430610869478164
0.003,0.9,0.99,4,0.031104235245215557,0.026916037780630637,0.7139983303613167,-26347.923225402832,2.4115685183609625
0.003,0.9,0.9,1,0.014112936875866287,0.018864216361492922,0.7139983303613167,-24699.923469543457,2.5683984070686137
0.003,0.9,0.9,2,0.011575996020239314,0.01628296440464257,0.9995976625058433,-24182.979226589203,2.476466100537576
0.003,0.9,0.9,3,0.02059979297897474,0.028056445676249785,0.7139983303613167,-24520.08253288269,2.5187155421507943
0.003,0.9,0.9,4,0.018988504742153058,0.023862933595576157,0.7139983303613167,-24869.66457748413,2.472296404761144
0.003,1.0,0.99,1,0.05055532174290696,0.035414143793034626,0.7139983303613167,-28505.77521514893,2.454333281079428
0.003,1.0,0.99,2,0.04824179387195694,0.033345705533193784,0.7139983303613167,-27850.936851501465,2.422936217217951
0.003,1.0,0.99,3,0.05059967797862966,0.03743305332225721,0.7139983303613167,-28011.4253616333,2.4458726381207487
0.003,1.0,0.99,4,0.04419747279830677,0.030973453970200536,0.7139983303613167,-27877.341064453125,2.515972240408444
0.003,1.0,0.9,1,0.015695201876368966,0.0246522203461517,0.7139983303613167,-24667.350761413574,2.526902708980278
0.003,1.0,0.9,2,0.02985918070966171,0.02709832822685207,0.7139983303613167,-25927.034393310547,2.4951050911541555
0.003,1.0,0.9,3,0.02064264733519976,0.025839432255568135,0.7139983303613167,-25004.42370414734,2.5249339335799945
0.003,1.0,0.9,4,0.01609068882722388,0.021655624891241173,0.7139983303613167,-25244.04972648621,2.5817606526548005
0.005,0.5,0.99,1,0.015292760579074444,0.02132039506545695,0.7139983303613167,-24137.76354598999,2.474994820800557
0.005,0.5,0.99,2,0.009790660712919797,0.018626466469670484,0.7139983303613167,-23257.676372528076,2.4877520811646487
0.005,0.5,0.99,3,0.009342070178485509,0.017010394908948016,0.7139983303613167,-23434.342475891113,2.4784508959363336
0.005,0.5,0.99,4,0.008111159213531558,0.011781778710896503,0.9995976625058433,-23789.88294029236,2.418965123278037
0.005,0.5,0.9,1,0.005292406456416514,0.01660838898363875,0.9995976625058433,-23255.92949295044,2.52185689951803
0.005,0.5,0.9,2,0.006095416625002986,0.017535980613131115,0.9995976625058433,-22871.192348480225,2.4847379658569873
0.005,0.5,0.9,3,0.006702093214612385,0.01697806762873319,0.9995976625058433,-22902.06360054016,2.493036059240739
0.005,0.5,0.9,4,0.006134004668601624,0.020340539245912868,0.7139983303613167,-22783.19867706299,2.436660380722108
0.005,0.7,0.99,1,0.024895822001604326,0.02334283745970341,0.7139983303613167,-25267.36841583252,2.52104573787984
0.005,0.7,0.99,2,0.01988362007845867,0.022425741307297787,0.7139983303613167,-24307.928199768063,2.5051319374719565
0.005,0.7,0.99,3,0.020647004109453238,0.02208983111147427,0.7139983303613167,-24566.666400909424,2.480631156650035
0.005,0.7,0.99,4,0.013203820556494338,0.018653741212452377,0.7139983303613167,-24512.64284515381,2.3764285009984474
0.005,0.7,0.9,1,0.00843200776170607,0.01862885752126351,0.7139983303613167,-23610.705013275143,2.5431532227343134
0.005,0.7,0.9,2,0.008902705250654144,0.01613619857200462,0.7139983303613167,-23677.038871765137,2.5165469041036337
