T_q,kappa,contrast_peak,contrast_std,SAA_peak,E_final,n
0.7,1.0,0.005289750239760805,0.0005651525253644898,0.002652694996730822,-25453.298313379288,4
0.85,0.0,0.0011427959353065066,3.245864167647392e-05,0.0005736718411373604,-23403.59292793274,4
0.85,0.1,0.0011592764279704493,5.608317435893703e-05,0.000580088929361812,-23359.07304239273,4
0.85,0.2,0.0013016329593960093,0.0001595868782879871,0.0006578254160277794,-23526.709177017212,4
0.85,0.3,0.0015551837717629753,5.6034567508913424e-05,0.0007799165298949342,-23644.44542646408,4
0.85,0.4,0.001606818810095327,0.0001082434918750284,0.0007996219940207283,-23806.31350016594,4
0.85,0.5,0.002083711684550487,8.151303250204705e-05,0.001046212553470132,-23995.564270973206,4
0.85,0.6,0.0023976627501729303,0.00011656452137379455,0.0011853625872880395,-24208.220870256424,4
0.85,0.7,0.0030318086032819318,0.0005349282888136328,0.0015110845059085045,-24361.68735742569,4
0.85,0.8,0.003463176000354466,0.000575339845014602,0.001730689890189273,-24549.95828962326,4
0.85,0.9,0.004485652642827287,0.0005059124668027248,0.002214234969158672,-24990.02570962906,4
0.85,1.0,0.005745643109545149,0.0005040935508525804,0.0028783091732715624,-25515.819751739502,4
1.0,0.0,0.0010972205354553384,7.433479780212499e-05,0.0005534240732308039,-23333.661925792694,4
1.0,0.1,0.0012289895645072484,6.769424638034095e-05,0.000618417094539584,-23392.5550031662,4
1.0,0.2,0.0013056841630635866,6.731128154071261e-05,0.000657215896296337,-23515.435121536255,4
1.0,0.3,0.0014252254889163295,5.6327514349979855e-05,0.0007122138542256354,-23600.12584400177,4
1.0,0.4,0.0016456362558706446,8.304238340664092e-05,0.0008270744396937213,-23687.713784217834,4
1.0,0.5,0.002040332006345245,0.00021368811981975185,0.0010195605068734907,-24015.286496400833,4
1.0,0.6,0.002533204009129178,0.0002624752588838496,0.0012677134463592195,-24154.663489103317,4
1.0,0.7,0.003017179487517093,0.0002131073566315385,0.0015021404511453987,-24435.803134918213,4
1.0,0.8,0.003890765538995506,0.000601497032118507,0.001938594411578596,-24722.420144557953,4
1.0,0.9,0.00407615825424655,0.00039541108337407156,0.002036025290194781,-24848.60132741928,4
1.0,1.0,0.005393119928647601,0.0005988337061000792,0.0027110073391259314,-25373.037086606026,4
1.3,0.0,0.0011117650435164674,8.507832571008698e-05,0.0005615901550218144,-23323.235390663147,4
1.3,0.1,0.001174765865542349,3.886670029868884e-05,0.0005930802624484393,-23459.600651741028,4
1.3,0.2,0.0013414745722687888,2.684130572032493e-05,0.0006746681796987205,-23530.831706523895,4
1.3,0.3,0.0014205667532912506,0.00011656572205323005,0.0007158408312426614,-23550.67891407013,4
1.3,0.4,0.0016749653068733657,9.881898185758343e-05,0.0008402998811910015,-23713.349926948547,4
1.3,0.5,0.001987974057919149,0.0001613097831294804,0.0009971274691650204,-23896.447890996933,4
1.3,0.6,0.002605504839991637,0.0003282528812825743,0.0013089045024845133,-24171.69073700905,4
1.3,0.7,0.002956691004753486,0.0003495593007230158,0.0014844647079409385,-24308.84636092186,4
1.3,0.8,0.003571144066108863,0.0005177380653269007,0.0017766890819649194,-24710.966992378235,4
1.3,0.9,0.004236764923557583,0.0005345385165653497,0.002128519980215281,-24830.576402187347,4
1.3,1.0,0.005448495336152646,0.0004994426033354512,0.0026990319694657487,-25418.122866153717,4
