kappa,pi,tw,seed,contrast,SAA,k_star_c,E,Rg
0.5,0.9,100000,2,0.008545329112992082,0.011229116955767999,0.9995976625058433,-23295.69023132324,2.6271093637903133
0.5,0.9,100000,3,0.008826822138798634,0.015540118202916259,0.9995976625058433,-23288.31803894043,2.6186351675669695
0.5,0.9,3000000,1,0.00883832672533156,0.013430785043474091,0.7139983303613167,-24246.081661224365,2.652032563306604
0.5,0.9,3000000,2,0.008215791137570884,0.012788038409851748,0.9995976625058433,-24074.95642089844,2.664180731438831
0.5,0.9,3000000,3,0.010576410432001604,0.015493601330178672,0.9995976625058433,-24104.17366027832,2.6681938731701877
0.5,0.9,300000,1,0.008578754005795186,0.014034476784901315,0.9995976625058433,-23691.99550628662,2.6392140998536453
0.5,0.9,300000,2,0.008647436775472448,0.0117780209402188,0.9995976625058433,-23492.89023590088,2.637120326984874
0.5,0.9,300000,3,0.009801964825409473,0.014559824731098323,0.9995976625058433,-23695.42406463623,2.628575005084856
0.5,0.9,30000,1,0.007550336282650836,0.0134263724947376,1.28519699465037,-23278.71771621704,2.6278607321247702
0.5,0.9,30000,2,0.00823298782925899,0.011901590950575618,0.9995976625058433,-23042.779747009277,2.6323098956642457
0.5,0.9,30000,3,0.008217194005750387,0.015003686643493854,0.9995976625058433,-23070.852993011475,2.6345920707999877
1.0,0.995,1000000,1,0.05951659908825596,0.03642471087418862,0.7139983303613167,-28354.369659423828,2.491396385203903
1.0,0.995,1000000,2,0.05140317029967988,0.031190106578809572,0.7139983303613167,-29468.196182250977,2.386139722279908
1.0,0.995,1000000,3,0.06810192076914952,0.04606167862157089,0.7139983303613167,-28944.127682685852,2.498327702318379
1.0,0.995,100000,1,0.05799464457346179,0.034071547934340696,0.7139983303613167,-28263.62678527832,2.4350254276647143
1.0,0.995,100000,2,0.05380849717096953,0.03324938672757447,0.7139983303613167,-28822.471294403076,2.44942649229772
1.0,0.995,100000,3,0.06585627983947498,0.045056598239229154,0.7139983303613167,-28543.298309326172,2.460165094381024
1.0,0.995,3000000,1,0.052456744948149045,0.03196904952812285,0.7139983303613167,-28361.29315185547,2.4202161080922604
1.0,0.995,3000000,2,0.05107456992646849,0.03166279858674183,0.7139983303613167,-29438.774879455566,2.431737491828146
1.0,0.995,3000000,3,0.07211508731396317,0.047982264931563635,0.7139983303613167,-28846.34476852417,2.4570214134953385
1.0,0.995,300000,1,0.05891630641053516,0.0365282004190735,0.7139983303613167,-28019.62944412231,2.4444969509848105
1.0,0.995,300000,2,0.04985886014959029,0.03000424795493964,0.7139983303613167,-29402.813835144043,2.4041611646670336
1.0,0.995,300000,3,0.06725062256489964,0.0448404535254263,0.7139983303613167,-28294.227611541748,2.4744274494750047
1.0,0.995,30000,1,0.059123582779331524,0.037218105522948054,0.7139983303613167,-27565.598503112793,2.43320231776202
1.0,0.995,30000,2,0.048494908696123634,0.03134150293369141,0.7139983303613167,-28212.419464111328,2.406440993488356
1.0,0.995,30000,3,0.06673923901004122,0.04500051597774292,0.7139983303613167,-27827.02994155884,2.435791563118199
1.0,0.9,1000000,1,0.022938407375663532,0.02215602645244633,0.7139983303613167,-26080.65810775757,2.6794918060549424
1.0,0.9,1000000,2,0.040444870542765785,0.028824009368564302,0.7139983303613167,-27200.613788604736,2.6271589514556464
1.0,0.9,1000000,3,0.023809429124320106,0.02387749394491273,0.7139983303613167,-25799.426223754883,2.680101302144766
1.0,0.9,100000,1,0.023547587996432133,0.020751072597168373,0.7139983303613167,-25853.882720947266,2.665476481783677
1.0,0.9,100000,2,0.03704330371948682,0.028392727817588316,0.7139983303613167,-26391.876655578613,2.605817254038445
1.0,0.9,100000,3,0.025274231512125225,0.024275801898317472,0.7139983303613167,-25761.46704864502,2.6681896144579733
1.0,0.9,3000000,1,0.030590027730775883,0.024924837115167884,0.7139983303613167,-26853.523361206055,2.7313288670921065
1.0,0.9,3000000,2,0.04606851954640277,0.03270526646346374,0.7139983303613167,-27330.154251098633,2.6354999218260633
1.0,0.9,3000000,3,0.03143940707322982,0.028454381231295532,0.7139983303613167,-25770.38055038452,2.704766614927756
1.0,0.9,300000,1,0.027304885504893402,0.024563885490831015,0.7139983303613167,-26203.085739135742,2.7036075454988753
1.0,0.9,300000,2,0.04104140594979316,0.02946227576430784,0.7139983303613167,-26900.60120010376,2.6007574691116724
1.0,0.9,300000,3,0.025548787803929544,0.024958644764807532,0.7139983303613167,-25582.27326965332,2.658199433735988
1.0,0.9,30000,1,0.019575156473499923,0.018681461972390966,0.9995976625058433,-25071.01860809326,2.6501598327215135
1.0,0.9,30000,2,0.03145973867664256,0.023633438338093872,0.7139983303613167,-26338.4893989563,2.5603517480568545
1.0,0.9,30000,3,0.023664184524645394,0.022406899087144418,0.7139983303613167,-24832.926651000977,2.632878173003252
