L,rho,kappa,eps,seed,contrast,SAA,k_star_c,E,Rg
22.0,0.540946656649136,0.5,0.005,2,0.0054835770474515235,0.01562506401298481,0.7139983303613167,-23019.76930618286,2.4937863335371397
22.0,0.540946656649136,0.5,0.005,3,0.00837768238071845,0.01726767386026283,0.9995976625058433,-23572.93741607666,2.497755621095994
22.0,0.540946656649136,0.5,0.02,1,0.006177833488961602,0.013973767345858956,0.9995976625058433,-22700.63362121582,2.611454797968646
22.0,0.540946656649136,0.5,0.02,2,0.007309757294546601,0.012667245617507478,1.28519699465037,-22757.257137298584,2.5877763434590593
22.0,0.540946656649136,0.5,0.02,3,0.008462042076927408,0.014864704515220751,0.9995976625058433,-23014.663738250732,2.594031589028201
22.0,0.540946656649136,0.5,0.05,1,0.006915986126761869,0.013078040491330361,1.28519699465037,-22914.204471588135,2.6146023681121755
22.0,0.540946656649136,0.5,0.05,2,0.00733194441781858,0.012044824228137806,0.9995976625058433,-23048.261917114258,2.630964034738167
22.0,0.540946656649136,0.5,0.05,3,0.00974020517439187,0.015439859058259963,0.9995976625058433,-23133.537952423096,2.636361064586235
22.0,0.540946656649136,0.5,0.1,1,0.006473895099017893,0.013563116343307941,1.28519699465037,-22947.820419311523,2.677894560049287
22.0,0.540946656649136,0.5,0.1,2,0.00815059789427962,0.01164793178357887,0.9995976625058433,-23266.277198791504,2.651454385428602
22.0,0.540946656649136,0.5,0.1,3,0.008452704721064588,0.014395961800391713,0.7139983303613167,-23064.998985290527,2.6426533943544244
22.0,0.540946656649136,0.5,0.2,1,0.00627284049926779,0.012651181017235603,1.28519699465037,-23796.3443069458,2.633319668427221
22.0,0.540946656649136,0.5,0.2,2,0.005987782801412567,0.010945910653281588,1.28519699465037,-23539.940238952637,2.637296713447073
22.0,0.540946656649136,0.5,0.2,3,0.00761817918906179,0.013568568442947817,0.9995976625058433,-23824.9808883667,2.635393542694893
22.0,0.540946656649136,0.8,0.005,1,0.011608504284340038,0.017655563630760006,0.7139983303613167,-24277.310817718502,2.577713054136472
22.0,0.540946656649136,0.8,0.005,2,0.010667107432596802,0.014335308319370754,0.9995976625058433,-23820.633083343502,2.512504923401852
22.0,0.540946656649136,0.8,0.005,3,0.014476862167565514,0.02210561890195306,0.7139983303613167,-24133.895206451416,2.4777173639029275
22.0,0.540946656649136,0.8,0.02,1,0.0139046986404604,0.01676759884327551,0.9995976625058433,-24163.537727355957,2.6242771241937626
22.0,0.540946656649136,0.8,0.02,2,0.014119802907555467,0.017223337863510803,0.7139983303613167,-24333.28090667725,2.6048826178387476
22.0,0.540946656649136,0.8,0.02,3,0.0162855322547012,0.02055284781157768,0.7139983303613167,-24252.359817504883,2.5937413742548907
22.0,0.540946656649136,0.8,0.05,1,0.013143205706248377,0.01591683418649811,0.9995976625058433,-24328.347423553467,2.668667454062342
22.0,0.540946656649136,0.8,0.05,2,0.013210396186286078,0.015992031381101043,0.7139983303613167,-23948.394832611084,2.6102969737823907
22.0,0.540946656649136,0.8,0.05,3,0.019383828679875398,0.021544891266431727,0.7139983303613167,-24447.549503326416,2.596981880289517
22.0,0.540946656649136,0.8,0.1,1,0.011597883894403093,0.0156068451345485,0.9995976625058433,-24502.776195526123,2.651170980822192
22.0,0.540946656649136,0.8,0.1,2,0.013172153783355796,0.012123411189569566,0.9995976625058433,-24478.053421020508,2.6305813760727923
22.0,0.540946656649136,0.8,0.1,3,0.016407455949089787,0.01832132351164576,0.7139983303613167,-24445.29686355591,2.6090806101411874
22.0,0.540946656649136,0.8,0.2,1,0.010355352423120204,0.010860261780160307,0.9995976625058433,-24633.44803237915,2.6590439352722757
22.0,0.540946656649136,0.8,0.2,2,0.011941075062639507,0.013042297101616626,0.7139983303613167,-24885.55478668213,2.600650762480294
22.0,0.540946656649136,0.8,0.2,3,0.012497429561649667,0.015300645977816506,0.7139983303613167,-24685.131366729736,2.610245934495474
22.0,0.540946656649136,0.95,0.005,1,0.016095898009668298,0.019759770648208212,0.7139983303613167,-24737.269115448,2.595005655099522
22.0,0.540946656649136,0.95,0.005,2,0.01978152748083931,0.02130108737282207,0.7139983303613167,-24885.709175109863,2.515066749718125
22.0,0.540946656649136,0.95,0.005,3,0.02714843766628162,0.026970878270316412,0.7139983303613167,-25036.041034698486,2.5447313327136323
22.0,0.540946656649136,0.95,0.02,1,0.024295667371145534,0.021960827789178863,0.7139983303613167,-25379.291778564453,2.6806050503285173
22.0,0.540946656649136,0.95,0.02,2,0.02078041155185963,0.017547659831072003,0.7139983303613167,-25315.444381713867,2.601816870818504
22.0,0.540946656649136,0.95,0.02,3,0.028425957006585123,0.024914575071913116,0.7139983303613167,-25199.89220046997,2.625956377942736
22.0,0.540946656649136,0.95,0.05,1,0.021519732524093258,0.01930273037560835,0.7139983303613167,-25095.90051651001,2.7026258716749862
22.0,0.540946656649136,0.95,0.05,2,0.023897007227508756,0.020690773628034266,0.7139983303613167,-25530.80348777771,2.607208072814754
22.0,0.540946656649136,0.95,0.05,3,0.027443069759768308,0.024321947723563782,0.7139983303613167,-25003.435943603516,2.639936075392109
22.0,0.540946656649136,0.95,0.1,1,0.021847512469400233,0.018935785056131426,0.7139983303613167,-25834.50036811829,2.7087052072057767
22.0,0.540946656649136,0.95,0.1,2,0.020515621666867826,0.01811462606102664,0.7139983303613167,-25416.75730895996,2.621305502291343
22.0,0.540946656649136,0.95,0.1,3,0.029519681072943414,0.026785208718751764,0.7139983303613167,-25426.60683441162,2.6756056831044535
22.0,0.540946656649136,0.95,0.2,1,0.014212936718841253,0.014525920122425064,0.9995976625058433,-25480.8932762146,2.6746551645364636
22.0,0.540946656649136,0.95,0.2,2,0.014482881917350195,0.013597185163256687,0.9995976625058433,-25161.384799957275,2.6132630524725853
22.0,0.540946656649136,0.95,0.2,3,0.02358774401083232,0.02322578796333978,0.7139983303613167,-25556.2834854126,2.667717498281066
22.0,0.540946656649136,1.0,0.005,1,0.01829521450668732,0.02365769153965805,0.7139983303613167,-24984.057998657227,2.5929349203302476
22.0,0.540946656649136,1.0,0.005,2,0.030587169106849183,0.024482128478937944,0.7139983303613167,-26091.05758666992,2.5204640893393906
22.0,0.540946656649136,1.0,0.005,3,0.026451422299149444,0.0278047477558035,0.7139983303613167,-25065.776752471924,2.577407588416711
22.0,0.540946656649136,1.0,0.02,1,0.020420726415424924,0.02100902548544705,0.9995976625058433,-25407.871559143063,2.6320482120537263
22.0,0.540946656649136,1.0,0.02,2,0.03098610137694777,0.023834129237228927,0.7139983303613167,-25948.15115737915,2.6038773345786037
22.0,0.540946656649136,1.0,0.02,3,0.020972443792879377,0.020693233587776153,0.7139983303613167,-25122.91837310791,2.6467998784932765
22.0,0.540946656649136,1.0,0.05,1,0.01974437943282726,0.016504835034117007,0.9995976625058433,-25069.23826980591,2.658945517224765
22.0,0.540946656649136,1.0,0.05,2,0.034070829597891886,0.026375188128923192,0.7139983303613167,-26139.086429595947,2.5886665950365932
22.0,0.540946656649136,1.0,0.05,3,0.02326452123272981,0.025333630596654177,0.7139983303613167,-25073.052661895752,2.657884047342022
22.0,0.540946656649136,1.0,0.1,1,0.018545568943661203,0.019939813167947577,0.7139983303613167,-25398.874153137207,2.6435412027640925
22.0,0.540946656649136,1.0,0.1,2,0.028793673859279105,0.021067871064537825,0.7139983303613167,-25855.22847366333,2.599762869401362
22.0,0.540946656649136,1.0,0.1,3,0.021208250605187325,0.021019250779568035,0.7139983303613167,-25229.985767364506,2.64867674312527
22.0,0.540946656649136,1.0,0.2,1,0.017245142262036706,0.01692878894324141,0.9995976625058433,-25616.374866485596,2.6386829286414906
22.0,0.540946656649136,1.0,0.2,2,0.02473472029659833,0.020562562464747684,0.7139983303613167,-26249.639938354492,2.5581074278052185
22.0,0.540946656649136,1.0,0.2,3,0.01741758972478634,0.018024621426553377,0.9995976625058433,-25691.412109375,2.621509275674374
28.0,0.26239067055393583,0.0,0.005,1,0.008020752147402457,0.09184569923018396,0.5609986881410345,-21621.631198883057,2.309796005340764
28.0,0.26239067055393583,0.0,0.005,2,0.005731948799521845,0.07438291891990959,1.009797638653862,-20897.10131072998,2.2586496024454226
28.0,0.26239067055393583,0.0,0.005,3,0.007584612278966589,0.06221788785519818,1.009797638653862,-22060.367866516113,2.1622587823735575
28.0,0.26239067055393583,0.0,0.02,1,0.009016638246407313,0.06851837755206817,1.2341971139102759,-20365.73984527588,2.393661595896943
28.0,0.26239067055393583,0.0,0.02,2,0.010245227144021981,0.06347114438116809,1.2341971139102759,-20566.28741455078,2.329462196065628
28.0,0.26239067055393583,0.0,0.02,3,0.01082004416598679,0.05624372047704301,1.2341971139102759,-21027.808252334595,2.2397729073233332
28.0,0.26239067055393583,0.0,0.05,1,0.010425358937473775,0.06808568165496283,1.2341971139102759,-20747.028602600098,2.3959714994471195
28.0,0.26239067055393583,0.0,0.05,2,0.00976265527546462,0.060188622924828496,1.4585965891666897,-20321.848720550537,2.392598349275619
28.0,0.26239067055393583,0.0,0.05,3,0.011162320024118776,0.05309799581212854,1.4585965891666897,-21202.509159088135,2.2865620451334383
28.0,0.26239067055393583,0.0,0.1,1,0.01018557433074322,0.06721609445413007,1.2341971139102759,-20748.69856071472,2.429454805422135
28.0,0.26239067055393583,0.0,0.1,2,0.008838485977375188,0.05741690433407835,1.4585965891666897,-20529.40556716919,2.392153212326131
28.0,0.26239067055393583,0.0,0.1,3,0.01055116839521236,0.04860940435577883,1.4585965891666897,-21424.45207977295,2.3346630971723634
28.0,0.26239067055393583,0.0,0.2,1,0.008301299716247204,0.07073445401609577,1.4585965891666897,-21239.075317382812,2.4081100913476905
28.0,0.26239067055393583,0.0,0.2,2,0.008246167169769327,0.05216823117858853,1.4585965891666897,-21208.129934310913,2.3871622331709568
28.0,0.26239067055393583,0.0,0.2,3,0.00911869588182888,0.04607638308951351,1.4585965891666897,-21331.61549758911,2.303648273659921
28.0,0.26239067055393583,0.5,0.005,1,0.013013148733090632,0.06720556954904017,0.7853981633974483,-21708.320543289185,2.3213586420117434
28.0,0.26239067055393583,0.5,0.005,2,0.013889654519432148,0.07354712025292802,1.009797638653862,-21562.99172782898,2.2713650083831944
28.0,0.26239067055393583,0.5,0.005,3,0.014794561400315681,0.05293825540159782,1.009797638653862,-21843.069576263428,2.146878670824594
28.0,0.26239067055393583,0.5,0.02,1,0.01886508789479142,0.06096270854636114,1.009797638653862,-21765.447582244873,2.4121303590139984
28.0,0.26239067055393583,0.5,0.02,2,0.015596057994344357,0.05462201399031882,1.2341971139102759,-21482.706745147705,2.377344631526102
28.0,0.26239067055393583,0.5,0.02,3,0.016368655241263477,0.053332303416586256,1.009797638653862,-21566.984897613525,2.27024888579575
28.0,0.26239067055393583,0.5,0.05,1,0.01887669131908115,0.06608434701219272,0.7853981633974483,-21759.51499557495,2.397227258584498
28.0,0.26239067055393583,0.5,0.05,2,0.014905935125977566,0.06790804457071757,1.009797638653862,-21531.659866333008,2.402256334912425
28.0,0.26239067055393583,0.5,0.05,3,0.0171285636550417,0.038206790373212784,1.009797638653862,-21830.95980834961,2.319693042575803
28.0,0.26239067055393583,0.5,0.1,1,0.015694575412879618,0.05741009784626272,1.2341971139102759,-22119.877639770508,2.445083623355257
28.0,0.26239067055393583,0.5,0.1,2,0.015204971748715566,0.06223155296134025,1.009797638653862,-21350.898933410645,2.421666811666581
28.0,0.26239067055393583,0.5,0.1,3,0.01716344988353497,0.03255695792851242,1.009797638653862,-21875.40327835083,2.3423005790733917
28.0,0.26239067055393583,0.5,0.2,1,0.014614752988742381,0.059503714232308345,1.2341971139102759,-22211.35513305664,2.4406910871794185
28.0,0.26239067055393583,0.5,0.2,2,0.014848171655241858,0.07050286826838228,1.009797638653862,-22065.834884643555,2.4157987013780815
28.0,0.26239067055393583,0.5,0.2,3,0.014527483184857146,0.030959975967116075,1.009797638653862,-22950.82733154297,2.3063601747798237
28.0,0.26239067055393583,0.8,0.005,1,0.026119898926129453,0.07050558372704412,1.009797638653862,-22734.78356361389,2.343327068319009
28.0,0.26239067055393583,0.8,0.005,2,0.02989478451215049,0.09089479905289931,0.7853981633974483,-22563.17876434326,2.292595927407174
28.0,0.26239067055393583,0.8,0.005,3,0.026356983711617682,0.06335977497516808,0.7853981633974483,-23558.216232299805,2.188817274073114
28.0,0.26239067055393583,0.8,0.02,1,0.0344701408058465,0.06570578124325607,1.009797638653862,-22861.74197769165,2.3982242214935345
28.0,0.26239067055393583,0.8,0.02,2,0.03509761296841391,0.06409687638503321,0.7853981633974483,-22567.274700164795,2.3740436116203703
28.0,0.26239067055393583,0.8,0.02,3,0.031209738162609798,0.05229934561899596,1.009797638653862,-23181.11639022827,2.2665837830409794
28.0,0.26239067055393583,0.8,0.05,1,0.0312103974621785,0.0671041408359985,1.009797638653862,-22849.892749786377,2.412217462115308
28.0,0.26239067055393583,0.8,0.05,2,0.02833913124921443,0.0721980788916298,0.5609986881410345,-22637.74782180786,2.4041847930285214
28.0,0.26239067055393583,0.8,0.05,3,0.03189760641132393,0.04098061561358685,0.7853981633974483,-23556.52041625977,2.306617882114251
28.0,0.26239067055393583,0.8,0.1,1,0.026426754984734444,0.062190725605496454,1.009797638653862,-22857.99572563171,2.4468503331412403
28.0,0.26239067055393583,0.8,0.1,2,0.03122664492693778,0.07322012746661202,1.009797638653862,-23027.0708694458,2.4402115185024487
28.0,0.26239067055393583,0.8,0.1,3,0.03270873011230471,0.04268336725294314,0.7853981633974483,-23817.517707824707,2.302841777996157
28.0,0.26239067055393583,0.8,0.2,1,0.025652777162241104,0.05387045294070005,1.009797638653862,-22981.531536102295,2.4246462920046556
28.0,0.26239067055393583,0.8,0.2,2,0.026454068819942028,0.07120642675810974,0.7853981633974483,-22938.613639831543,2.440777901864445
28.0,0.26239067055393583,0.8,0.2,3,0.027471219823947547,0.0629028108802472,1.009797638653862,-23436.325299263,2.27020854895614
28.0,0.26239067055393583,0.95,0.005,1,0.04749641825675452,0.06829627813800139,0.7853981633974483,-24008.69581604004,2.3935824401158268
28.0,0.26239067055393583,0.95,0.005,2,0.04491858835915505,0.08357285871160905,0.7853981633974483,-23707.73112297058,2.340233763367208
28.0,0.26239067055393583,0.95,0.005,3,0.03569738095325221,0.05451593806762266,0.7853981633974483,-23801.439750671387,2.235648942962666
28.0,0.26239067055393583,0.95,0.02,1,0.05464859310915278,0.06955554418043593,0.7853981633974483,-24120.382720947266,2.4658971317821683
28.0,0.26239067055393583,0.95,0.02,2,0.04140616961665428,0.07621278215404913,0.7853981633974483,-23480.827270507812,2.3796985909171613
28.0,0.26239067055393583,0.95,0.02,3,0.04847609434032905,0.06559263688882447,0.7853981633974483,-24297.53854751587,2.317153327098995
28.0,0.26239067055393583,0.95,0.05,1,0.04753914508282121,0.05737656781744488,0.7853981633974483,-23799.225246429443,2.415529879260836
28.0,0.26239067055393583,0.95,0.05,2,0.04078509980490562,0.06896868277972885,0.7853981633974483,-23240.826919555664,2.3819122384462923
28.0,0.26239067055393583,0.95,0.05,3,0.0434095789904,0.04663936966641301,0.7853981633974483,-24165.538242340088,2.276038232456812
28.0,0.26239067055393583,0.95,0.1,1,0.047001295565326416,0.058999219850675286,0.7853981633974483,-23685.543937683105,2.4326097961280126
28.0,0.26239067055393583,0.95,0.1,2,0.042305601054097246,0.07355388281650928,0.5609986881410345,-23503.319274902344,2.407182701895659
28.0,0.26239067055393583,0.95,0.1,3,0.0457943373254756,0.04838375874165945,0.7853981633974483,-24240.757640838623,2.320100561918217
28.0,0.26239067055393583,0.95,0.2,1,0.039304162265888155,0.05491953134608631,0.7853981633974483,-23723.37939453125,2.4171030459149776
28.0,0.26239067055393583,0.95,0.2,2,0.036963320328271806,0.07834118008370887,0.5609986881410345,-24105.33948898315,2.3713197020322108
28.0,0.26239067055393583,0.95,0.2,3,0.040806564109254886,0.0572366506664573,0.5609986881410345,-25190.724449157715,2.2965288019852848
28.0,0.26239067055393583,1.0,0.005,1,0.04806544208942515,0.056951255020777844,0.7853981633974483,-23567.7276763916,2.3712308175369636
28.0,0.26239067055393583,1.0,0.005,2,0.05721830214101184,0.087962663775781,0.5609986881410345,-24295.45853805542,2.313336997290999
28.0,0.26239067055393583,1.0,0.005,3,0.04094290630589601,0.07872039433082259,0.7853981633974483,-23623.662200927734,2.3050831501397515
