L,kappa,seed,contrast,SAA,E
20.0,0.0,3,0.0036344436355098503,0.004852854964722356,-23125.862663269043
20.0,0.0,4,0.003809783697694634,0.00518768021654487,-23123.620681762695
20.0,0.3,1,0.004082873689920766,0.00483096135781542,-23679.08303833008
20.0,0.3,2,0.0007248218040423818,0.030901348968373488,
20.0,0.3,3,0.004180351780609347,0.005866782946921576,-23325.33895111084
20.0,0.3,4,0.0038469182365501176,0.00676134620284501,-23607.019172668457
20.0,0.5,1,0.0050712215483207385,0.005737014082538372,-24271.833671569824
20.0,0.5,2,0.0019362410005944256,0.03253441914728031,
20.0,0.5,3,0.00805289024571644,0.00843436406974214,-24193.544326782227
20.0,0.5,4,0.004983784825792967,0.006407818907484361,-23928.71697998047
20.0,0.7,1,0.007748161475520175,0.005869943298092447,-24933.510971069336
20.0,0.7,2,0.0021834155360269634,0.03261079693769671,
20.0,0.7,3,0.009577961393493099,0.008444114452975203,-24734.71874523163
20.0,0.7,4,0.010934889215844809,0.00929717827697325,-24817.728981018063
20.0,0.9,1,0.010178006894771727,0.008220955031735413,-25548.10736846924
20.0,0.9,2,0.0022657880943643995,0.032900475873301874,
20.0,0.9,3,0.015357472005365197,0.011733566079072066,-25236.96883392334
20.0,0.9,4,0.01604197345889953,0.011895779434016252,-25367.382640838623
20.0,1.0,1,0.014806919555457798,0.010911619505781048,-26230.00356292725
20.0,1.0,2,0.01925127694180566,0.01182291578225043,-26463.52701663971
20.0,1.0,3,0.01723250503195855,0.012839652541621538,-26257.179721832275
20.0,1.0,4,0.016727355972214007,0.011448439367367362,-26721.036407470703
22.0,0.0,1,0.005091277855540136,0.007488009482702919,-22584.051120758057
22.0,0.0,2,0.004435413711549596,0.011524811397364257,-22243.54172515869
22.0,0.0,3,0.005016325924367836,0.010408097475099529,-22422.72617340088
22.0,0.0,4,0.004739470141699551,0.01450927763258437,-21997.744354248047
22.0,0.3,1,0.005369263005815715,0.01063169469773038,-22781.96381378174
22.0,0.3,2,0.0055721079570508515,0.01033205130196656,-22437.266204833984
22.0,0.3,3,0.005714606689385111,0.01191122517424883,-22941.15909576416
22.0,0.3,4,0.0051424380751020305,0.013487855897106002,-22647.27476119995
22.0,0.5,1,0.006955923242724395,0.013291364826544038,-23223.58923339844
22.0,0.5,2,0.007316660672062707,0.012253929129244804,-22898.848976135258
22.0,0.5,3,0.00884247496702651,0.013738841609998557,-23312.75629425049
22.0,0.5,4,0.007986297639934371,0.01633756407547924,-22924.165489196777
22.0,0.7,1,0.009357340575295452,0.012126576135716202,-24054.04190826416
22.0,0.7,2,0.011293607012146677,0.012001294098609902,-24079.65811920166
22.0,0.7,3,0.010545290572086261,0.015386585361764085,-23656.013507843018
22.0,0.7,4,0.01691522933575216,0.022841902977636906,-24222.02251625061
22.0,0.9,1,0.015732102808874042,0.01596370027398252,-25144.139656066895
22.0,0.9,2,0.016985314618856176,0.01734346754013125,-24778.869506835938
22.0,0.9,3,0.027643383667779506,0.025959620127919823,-25352.700839996334
22.0,0.9,4,0.023691262518238086,0.022614680319020152,-25007.136726379395
22.0,1.0,1,0.020400887595611213,0.018262861074403804,-25757.19239807129
