N,bl,frac,seed,contrast,SAA,k_star_c,E,Rg
60,15,0.25,2,0.06646778766628934,0.06806079556432301,0.6076581534989929,-37969.57777404785,3.2141122310989214
60,15,0.25,3,0.06178617796557238,0.053592337022484726,0.85072141489859,-37325.657386779785,3.189183518716893
60,15,0.25,4,0.06208614491558293,0.0650490326835512,0.6076581534989929,-37206.36329650879,3.229324238526869
60,30,0.5,1,0.09862147284767553,0.07618558873180281,0.6076581534989929,-39530.75080871582,3.24906433192075
60,30,0.5,2,0.08901519205117499,0.072542495791906,0.6076581534989929,-38732.78298950195,3.2369034421990923
60,30,0.5,3,0.10409883911910538,0.08240868233969692,0.6076581534989929,-39415.613037109375,3.1504127334597576
60,30,0.5,4,0.09885133278166863,0.0792714936964467,0.6076581534989929,-39087.98681640625,3.231031656970662
60,7,0.11666666666666667,1,0.0330021333097634,0.04413794654318266,1.093784676298187,-36333.62300109863,3.3308709745074716
60,7,0.11666666666666667,2,0.0330146094196462,0.04089643542465098,1.093784676298187,-36003.892417907715,3.216605937971474
60,7,0.11666666666666667,3,0.03311956302622484,0.0396623218262856,1.093784676298187,-36241.56727600098,3.201894749335532
60,7,0.11666666666666667,4,0.031512746844195215,0.03634135389385611,1.093784676298187,-35676.44526672363,3.2775709609467434
80,10,0.125,1,0.07483160900705488,0.0804266389685249,0.9934762432293793,-49261.41491699219,3.916643789070094
80,10,0.125,2,0.0750161186007752,0.07962828702511357,0.9934762432293793,-48715.10975646973,3.6904918120449657
80,10,0.125,3,0.07064952416163595,0.12406017079336533,0.9934762432293793,-48436.31658935547,3.551687451976196
80,10,0.125,4,0.07461850694527732,0.09797924626791543,0.9934762432293793,-49175.15930175781,3.6998908802400337
80,20,0.25,1,0.10387477793264709,0.12948564729729897,0.7727037447339618,-50334.09120178223,3.850154567522952
80,20,0.25,2,0.12179330832375124,0.12119090177872956,0.7727037447339618,-50851.19696044922,3.745556087748611
80,20,0.25,3,0.13338104777605558,0.1536631702536872,0.7727037447339618,-51480.77119445801,3.5403134961981886
80,20,0.25,4,0.11706963882051435,0.12145722942599517,0.7727037447339618,-51218.922134399414,3.675189236077407
80,40,0.5,1,0.22971136969483014,0.18830937621476687,0.5519312462385442,-53159.46034240723,3.806384516370552
80,40,0.5,2,0.2138108249934323,0.17676228905861668,0.5519312462385442,-53254.190673828125,3.604100196987325
80,40,0.5,3,0.16727761807677996,0.18217139865180526,0.5519312462385442,-52204.69883728027,3.5191778848966915
80,40,0.5,4,0.2348618643430475,0.186324825993127,0.5519312462385442,-53165.81478881836,3.645011065018723
